"","year","trait","TP","Qsd1Train","Family","Qsd1","correlation","Spearman_Cor","n_test","n_train","fold","trainingProportion"
"54","2021","GE","TP1",0,"Scala/DH130910",2,0.121728373284082,0.187256935442053,57,15,7,40
"55","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.473114527994266,0.506442577030812,35,13,7,40
"56","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.311761022810507,0.375370990693417,68,13,7,40
"57","2021","GE","TP1",0,"Overall",0,0.361123934480862,0.351078167115903,105,40,8,40
"58","2021","GE","TP1",0,"Overall",2,0.158294437265829,0.15458364490609,208,40,8,40
"59","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.295478485529768,0.320197044334975,28,15,8,40
"60","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.21677478613303,0.0952209923705663,82,15,8,40
"61","2021","GE","TP1",0,"Scala/DH130910",0,0.367937156249004,0.24671669793621,40,14,8,40
"62","2021","GE","TP1",0,"Scala/DH130910",2,0.147005373432084,0.168524760176303,57,14,8,40
"63","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.27655867206154,0.354196301564723,37,11,8,40
"64","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.0921348011518946,0.0839989693416245,68,11,8,40
"65","2021","GE","TP1",0,"Overall",0,0.4600869737767,0.447574123989218,105,40,9,40
"66","2021","GE","TP1",0,"Overall",2,0.3718672765094,0.399640348090263,208,40,9,40
"67","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.113892066718169,0.222246941045606,30,13,9,40
"68","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.046775625208517,0.0310292661159543,82,13,9,40
"69","2021","GE","TP1",0,"Scala/DH130910",0,0.367833290417133,0.324735729386892,44,10,9,40
"70","2021","GE","TP1",0,"Scala/DH130910",2,0.163934421851771,0.186479128856624,57,10,9,40
"71","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.632979711470912,0.663306451612903,31,17,9,40
"72","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.427590815338586,0.454541116762279,68,17,9,40
"73","2021","GE","TP1",0,"Overall",0,0.401267450228672,0.339456769645449,105,40,10,40
"74","2021","GE","TP1",0,"Overall",2,0.222048271084555,0.217635412044484,208,40,10,40
"75","2021","GE","TP1",0,"SY_Tepee/DH130910",0,-0.150199280440258,-0.0496106785317019,30,13,10,40
