"","Family","Qsd1","correlation","trait","Population","Model"
"1","DH130910","2",NA,"TP2_GE","Full","Base"
"2","DH130910","Overall",NA,"TP2_GE","Full","Base"
"3","Flavia/DH130910","2",0.482499238260992,"TP2_GE","Full","Base"
"4","Flavia/DH130910","Overall",0.482499238260992,"TP2_GE","Full","Base"
"5","Overall","0",0.237750205114307,"TP2_GE","Full","Base"
"6","Overall","2",0.59112691086386,"TP2_GE","Full","Base"
"7","Overall","Overall",0.853262215839787,"TP2_GE","Full","Base"
"8","Scala/DH130910","0",0.142745771399016,"TP2_GE","Full","Base"
"9","Scala/DH130910","2",0.152928618005505,"TP2_GE","Full","Base"
"10","Scala/DH130910","Overall",0.75767087170505,"TP2_GE","Full","Base"
"11","SY_Tepee/DH130910","0",0.194094037255098,"TP2_GE","Full","Base"
"12","SY_Tepee/DH130910","2",0.692645208914084,"TP2_GE","Full","Base"
"13","SY_Tepee/DH130910","Overall",0.869326425378076,"TP2_GE","Full","Base"
"14","Wintmalt/DH130910","0",0.42096800976633,"TP2_GE","Full","Base"
"15","Wintmalt/DH130910","2",0.734884248721242,"TP2_GE","Full","Base"
"16","Wintmalt/DH130910","Overall",0.9397983959471,"TP2_GE","Full","Base"
"17","DH130910","2",NA,"TP2_GE","Full","Base"
"18","DH130910","Overall",NA,"TP2_GE","Full","Base"
"19","Flavia/DH130910","2",0.15701436850242,"TP2_GE","Full","Base"
"20","Flavia/DH130910","Overall",0.15701436850242,"TP2_GE","Full","Base"
"21","Overall","0",0.148173818254968,"TP2_GE","Full","Base"
"22","Overall","2",0.563610018814207,"TP2_GE","Full","Base"
"23","Overall","Overall",0.859410202056037,"TP2_GE","Full","Base"
"24","Scala/DH130910","0",-0.0487876112947652,"TP2_GE","Full","Base"
"25","Scala/DH130910","2",0.32010447650888,"TP2_GE","Full","Base"
"26","Scala/DH130910","Overall",0.751696682104926,"TP2_GE","Full","Base"
"27","SY_Tepee/DH130910","0",-0.0157722768429896,"TP2_GE","Full","Base"
"28","SY_Tepee/DH130910","2",0.271320138457794,"TP2_GE","Full","Base"
"29","SY_Tepee/DH130910","Overall",0.909030931288971,"TP2_GE","Full","Base"
"30","Wintmalt/DH130910","0",0.480761236543924,"TP2_GE","Full","Base"
"31","Wintmalt/DH130910","2",0.801377965666999,"TP2_GE","Full","Base"
"32","Wintmalt/DH130910","Overall",0.929615193196095,"TP2_GE","Full","Base"
"33","Flavia/DH130910","2",0.699028201089103,"TP2_GE","Full","Base"
"34","Flavia/DH130910","Overall",0.699028201089103,"TP2_GE","Full","Base"
"35","Overall","0",0.139039538861459,"TP2_GE","Full","Base"
"36","Overall","2",0.66735702952788,"TP2_GE","Full","Base"
"37","Overall","Overall",0.857134860492544,"TP2_GE","Full","Base"
"38","Scala/DH130910","0",0.248655955263797,"TP2_GE","Full","Base"
"39","Scala/DH130910","2",0.192320261293113,"TP2_GE","Full","Base"
"40","Scala/DH130910","Overall",0.802771883825847,"TP2_GE","Full","Base"
"41","SY_Tepee/DH130910","0",-0.0133095607266788,"TP2_GE","Full","Base"
"42","SY_Tepee/DH130910","2",0.800605584031654,"TP2_GE","Full","Base"
"43","SY_Tepee/DH130910","Overall",0.906550817696133,"TP2_GE","Full","Base"
"44","Wintmalt/DH130910","0",0.410779349063874,"TP2_GE","Full","Base"
"45","Wintmalt/DH130910","2",0.686314314036882,"TP2_GE","Full","Base"
"46","Wintmalt/DH130910","Overall",0.859718075763155,"TP2_GE","Full","Base"
"47","DH130910","2",NA,"TP2_GE","Full","Base"
"48","DH130910","Overall",NA,"TP2_GE","Full","Base"
"49","Flavia/DH130910","2",0.212194931553455,"TP2_GE","Full","Base"
"50","Flavia/DH130910","Overall",0.212194931553455,"TP2_GE","Full","Base"
"51","Overall","0",0.12716007851199,"TP2_GE","Full","Base"
"52","Overall","2",0.474994661492405,"TP2_GE","Full","Base"
"53","Overall","Overall",0.867636223417018,"TP2_GE","Full","Base"
"54","Scala/DH130910","0",0.0483884945412559,"TP2_GE","Full","Base"
"55","Scala/DH130910","2",0.489507386215956,"TP2_GE","Full","Base"
"56","Scala/DH130910","Overall",0.831075382429243,"TP2_GE","Full","Base"
"57","SY_Tepee/DH130910","0",-0.132744246985241,"TP2_GE","Full","Base"
"58","SY_Tepee/DH130910","2",0.203264479090821,"TP2_GE","Full","Base"
"59","SY_Tepee/DH130910","Overall",0.890472099015249,"TP2_GE","Full","Base"
"60","Wintmalt/DH130910","0",0.323745348811108,"TP2_GE","Full","Base"
"61","Wintmalt/DH130910","2",0.404501175461417,"TP2_GE","Full","Base"
"62","Wintmalt/DH130910","Overall",0.881001753308412,"TP2_GE","Full","Base"
"63","Flavia/DH130910","2",0.33472840981714,"TP2_GE","Full","Base"
"64","Flavia/DH130910","Overall",0.33472840981714,"TP2_GE","Full","Base"
"65","Overall","0",0.102245521725029,"TP2_GE","Full","Base"
"66","Overall","2",0.469058524602465,"TP2_GE","Full","Base"
"67","Overall","Overall",0.8601809806528,"TP2_GE","Full","Base"
"68","Scala/DH130910","0",-0.00601825037114167,"TP2_GE","Full","Base"
"69","Scala/DH130910","2",0.0797962886803161,"TP2_GE","Full","Base"
"70","Scala/DH130910","Overall",0.772948381888749,"TP2_GE","Full","Base"
"71","SY_Tepee/DH130910","0",-9.50032334550517e-05,"TP2_GE","Full","Base"
"72","SY_Tepee/DH130910","2",0.242294329828323,"TP2_GE","Full","Base"
"73","SY_Tepee/DH130910","Overall",0.888029856794991,"TP2_GE","Full","Base"
"74","Wintmalt/DH130910","0",0.442184870395042,"TP2_GE","Full","Base"
"75","Wintmalt/DH130910","2",0.459254877601273,"TP2_GE","Full","Base"
"76","Wintmalt/DH130910","Overall",0.900803046376459,"TP2_GE","Full","Base"
"77","DH130910","2",NA,"TP2_GE","Full","Base"
"78","DH130910","Overall",NA,"TP2_GE","Full","Base"
"79","Flavia/DH130910","2",0.395632679982123,"TP2_GE","Full","Base"
"80","Flavia/DH130910","Overall",0.395632679982123,"TP2_GE","Full","Base"
"81","Overall","0",0.308831024496331,"TP2_GE","Full","Base"
"82","Overall","2",0.641652013997866,"TP2_GE","Full","Base"
"83","Overall","Overall",0.883170210998608,"TP2_GE","Full","Base"
"84","Scala/DH130910","0",0.19856762659387,"TP2_GE","Full","Base"
"85","Scala/DH130910","2",0.529352197710186,"TP2_GE","Full","Base"
"86","Scala/DH130910","Overall",0.849026294681673,"TP2_GE","Full","Base"
"87","SY_Tepee/DH130910","0",0.177931410960842,"TP2_GE","Full","Base"
"88","SY_Tepee/DH130910","2",0.611540548454028,"TP2_GE","Full","Base"
"89","SY_Tepee/DH130910","Overall",0.944487494746482,"TP2_GE","Full","Base"
"90","Wintmalt/DH130910","0",0.466277830681242,"TP2_GE","Full","Base"
"91","Wintmalt/DH130910","2",0.52797827472176,"TP2_GE","Full","Base"
"92","Wintmalt/DH130910","Overall",0.831214663786925,"TP2_GE","Full","Base"
"93","Flavia/DH130910","2",0.350931297941675,"TP2_GE","Full","Base"
"94","Flavia/DH130910","Overall",0.350931297941675,"TP2_GE","Full","Base"
"95","Overall","0",0.348214677958844,"TP2_GE","Full","Base"
"96","Overall","2",0.633855764846312,"TP2_GE","Full","Base"
"97","Overall","Overall",0.907237541830186,"TP2_GE","Full","Base"
"98","Scala/DH130910","0",0.327476630885655,"TP2_GE","Full","Base"
"99","Scala/DH130910","2",0.141389727624522,"TP2_GE","Full","Base"
"100","Scala/DH130910","Overall",0.888785159938407,"TP2_GE","Full","Base"
"101","SY_Tepee/DH130910","0",0.406020344518503,"TP2_GE","Full","Base"
"102","SY_Tepee/DH130910","2",0.334359758062127,"TP2_GE","Full","Base"
"103","SY_Tepee/DH130910","Overall",0.930070599635355,"TP2_GE","Full","Base"
"104","Wintmalt/DH130910","0",0.233951415660273,"TP2_GE","Full","Base"
"105","Wintmalt/DH130910","2",0.813838983412155,"TP2_GE","Full","Base"
"106","Wintmalt/DH130910","Overall",0.925526809622378,"TP2_GE","Full","Base"
"107","Flavia/DH130910","2",0.868917474663882,"TP2_GE","Full","Base"
"108","Flavia/DH130910","Overall",0.868917474663882,"TP2_GE","Full","Base"
"109","Overall","0",0.0743909677927556,"TP2_GE","Full","Base"
"110","Overall","2",0.578976296281603,"TP2_GE","Full","Base"
"111","Overall","Overall",0.858363769184763,"TP2_GE","Full","Base"
"112","Scala/DH130910","0",0.124875114515938,"TP2_GE","Full","Base"
"113","Scala/DH130910","2",0.224634137847392,"TP2_GE","Full","Base"
"114","Scala/DH130910","Overall",0.84081113926854,"TP2_GE","Full","Base"
"115","SY_Tepee/DH130910","0",-0.192082613788953,"TP2_GE","Full","Base"
"116","SY_Tepee/DH130910","2",0.182011752875882,"TP2_GE","Full","Base"
"117","SY_Tepee/DH130910","Overall",0.863129220182257,"TP2_GE","Full","Base"
"118","Wintmalt/DH130910","0",0.606435555234358,"TP2_GE","Full","Base"
"119","Wintmalt/DH130910","2",0.415169627376793,"TP2_GE","Full","Base"
"120","Wintmalt/DH130910","Overall",0.850320927928523,"TP2_GE","Full","Base"
"121","Flavia/DH130910","2",0.504543705566408,"TP2_GE","Full","Base"
"122","Flavia/DH130910","Overall",0.504543705566408,"TP2_GE","Full","Base"
"123","Overall","0",0.127240511478699,"TP2_GE","Full","Base"
"124","Overall","2",0.380122360733836,"TP2_GE","Full","Base"
"125","Overall","Overall",0.828672667563707,"TP2_GE","Full","Base"
"126","Scala/DH130910","0",-0.0185482906989984,"TP2_GE","Full","Base"
"127","Scala/DH130910","2",-0.201318948388867,"TP2_GE","Full","Base"
"128","Scala/DH130910","Overall",0.751131725687181,"TP2_GE","Full","Base"
"129","SY_Tepee/DH130910","0",0.253381555303531,"TP2_GE","Full","Base"
"130","SY_Tepee/DH130910","2",0.175319045492135,"TP2_GE","Full","Base"
"131","SY_Tepee/DH130910","Overall",0.889959321766687,"TP2_GE","Full","Base"
"132","Wintmalt/DH130910","0",0.207574760524518,"TP2_GE","Full","Base"
"133","Wintmalt/DH130910","2",0.324937143917013,"TP2_GE","Full","Base"
"134","Wintmalt/DH130910","Overall",0.841231422037814,"TP2_GE","Full","Base"
"135","Flavia/DH130910","2",0.621693148337064,"TP2_GE","Full","Base"
"136","Flavia/DH130910","Overall",0.621693148337064,"TP2_GE","Full","Base"
"137","Overall","0",0.260037434622303,"TP2_GE","Full","Base"
"138","Overall","2",0.425668607288849,"TP2_GE","Full","Base"
"139","Overall","Overall",0.847223452177105,"TP2_GE","Full","Base"
"140","Scala/DH130910","0",0.302726840557555,"TP2_GE","Full","Base"
"141","Scala/DH130910","2",0.122654085466251,"TP2_GE","Full","Base"
"142","Scala/DH130910","Overall",0.799652537146835,"TP2_GE","Full","Base"
"143","SY_Tepee/DH130910","0",-0.148709160338579,"TP2_GE","Full","Base"
"144","SY_Tepee/DH130910","2",0.277410632539921,"TP2_GE","Full","Base"
"145","SY_Tepee/DH130910","Overall",0.894141477558459,"TP2_GE","Full","Base"
"146","Wintmalt/DH130910","0",0.587722014172256,"TP2_GE","Full","Base"
"147","Wintmalt/DH130910","2",0.26708429502813,"TP2_GE","Full","Base"
"148","Wintmalt/DH130910","Overall",0.844409272441389,"TP2_GE","Full","Base"
"149","DH130910","2",NA,"TP2_GE","Full","Base"
"150","DH130910","Overall",NA,"TP2_GE","Full","Base"
"151","Flavia/DH130910","2",0.304840510538124,"TP2_GE","Full","Base"
"152","Flavia/DH130910","Overall",0.304840510538124,"TP2_GE","Full","Base"
"153","Overall","0",0.338351442126483,"TP2_GE","Full","Base"
"154","Overall","2",0.589503852688211,"TP2_GE","Full","Base"
"155","Overall","Overall",0.859108209516051,"TP2_GE","Full","Base"
"156","Scala/DH130910","0",0.65162421959558,"TP2_GE","Full","Base"
"157","Scala/DH130910","2",0.550025547900856,"TP2_GE","Full","Base"
"158","Scala/DH130910","Overall",0.894600742560676,"TP2_GE","Full","Base"
"159","SY_Tepee/DH130910","0",0.439773294096524,"TP2_GE","Full","Base"
"160","SY_Tepee/DH130910","2",0.721007199672807,"TP2_GE","Full","Base"
"161","SY_Tepee/DH130910","Overall",0.888592464464843,"TP2_GE","Full","Base"
"162","Wintmalt/DH130910","0",0.0967889384274516,"TP2_GE","Full","Base"
"163","Wintmalt/DH130910","2",0.423149288094249,"TP2_GE","Full","Base"
"164","Wintmalt/DH130910","Overall",0.843257004652493,"TP2_GE","Full","Base"
"165","Flavia/DH130910","2",0.426687102397393,"TP2_GE","Full","Base"
"166","Flavia/DH130910","Overall",0.426687102397393,"TP2_GE","Full","Base"
"167","Overall","0",0.312926286162849,"TP2_GE","Full","Base"
"168","Overall","2",0.42234496903616,"TP2_GE","Full","Base"
"169","Overall","Overall",0.877507934937794,"TP2_GE","Full","Base"
"170","Scala/DH130910","0",-0.0045081328341007,"TP2_GE","Full","Base"
"171","Scala/DH130910","2",0.108029231176297,"TP2_GE","Full","Base"
"172","Scala/DH130910","Overall",0.848918877214489,"TP2_GE","Full","Base"
"173","SY_Tepee/DH130910","0",0.0844186204932098,"TP2_GE","Full","Base"
"174","SY_Tepee/DH130910","2",0.0267552329393049,"TP2_GE","Full","Base"
"175","SY_Tepee/DH130910","Overall",0.864741515922092,"TP2_GE","Full","Base"
"176","Wintmalt/DH130910","0",0.588912788521445,"TP2_GE","Full","Base"
"177","Wintmalt/DH130910","2",0.718367217650762,"TP2_GE","Full","Base"
"178","Wintmalt/DH130910","Overall",0.934930509594947,"TP2_GE","Full","Base"
"179","Flavia/DH130910","2",0.619602181818175,"TP2_GE","Full","Base"
"180","Flavia/DH130910","Overall",0.619602181818175,"TP2_GE","Full","Base"
"181","Overall","0",0.249627717522171,"TP2_GE","Full","Base"
"182","Overall","2",0.646747280721617,"TP2_GE","Full","Base"
"183","Overall","Overall",0.861654737215631,"TP2_GE","Full","Base"
"184","Scala/DH130910","0",0.534769218511816,"TP2_GE","Full","Base"
"185","Scala/DH130910","2",0.156582822381006,"TP2_GE","Full","Base"
"186","Scala/DH130910","Overall",0.878373361814413,"TP2_GE","Full","Base"
"187","SY_Tepee/DH130910","0",-0.058438836067276,"TP2_GE","Full","Base"
"188","SY_Tepee/DH130910","2",0.808700612829566,"TP2_GE","Full","Base"
"189","SY_Tepee/DH130910","Overall",0.868507721873459,"TP2_GE","Full","Base"
"190","Wintmalt/DH130910","0",0.306000939307112,"TP2_GE","Full","Base"
"191","Wintmalt/DH130910","2",0.553122509565751,"TP2_GE","Full","Base"
"192","Wintmalt/DH130910","Overall",0.841335251619345,"TP2_GE","Full","Base"
"193","Flavia/DH130910","2",0.360899423075325,"TP2_GE","Full","Base"
"194","Flavia/DH130910","Overall",0.360899423075325,"TP2_GE","Full","Base"
"195","Overall","0",0.1667369657814,"TP2_GE","Full","Base"
"196","Overall","2",0.631237308166591,"TP2_GE","Full","Base"
"197","Overall","Overall",0.87635154836105,"TP2_GE","Full","Base"
"198","Scala/DH130910","0",0.0869267015771561,"TP2_GE","Full","Base"
"199","Scala/DH130910","2",0.501841755617774,"TP2_GE","Full","Base"
"200","Scala/DH130910","Overall",0.869301734084102,"TP2_GE","Full","Base"
"201","SY_Tepee/DH130910","0",0.323402714281635,"TP2_GE","Full","Base"
"202","SY_Tepee/DH130910","2",0.471239195097202,"TP2_GE","Full","Base"
"203","SY_Tepee/DH130910","Overall",0.924963249833671,"TP2_GE","Full","Base"
"204","Wintmalt/DH130910","0",-0.0173302474916117,"TP2_GE","Full","Base"
