"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.571915820683747,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"2","Flavia/DH130910","Overall",0.571915820683747,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"3","Overall","0",0.371877094732515,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"4","Overall","2",0.4719106594349,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"5","Overall","Overall",0.935829264117924,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"6","SY_Tepee/DH130910","0",0.241431480012714,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"7","SY_Tepee/DH130910","2",0.500455038416967,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.958546028696204,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"9","Scala/DH130910","0",0.420259421458643,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"10","Scala/DH130910","2",0.554649848726432,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"11","Scala/DH130910","Overall",0.927340890290031,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"12","Wintmalt/DH130910","0",0.416080032732456,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"13","Wintmalt/DH130910","2",0.173097857911475,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"14","Wintmalt/DH130910","Overall",0.927238221818494,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"15","Flavia/DH130910","2",0.704051804526121,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"16","Flavia/DH130910","Overall",0.704051804526121,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"17","Overall","0",0.556947227399641,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"18","Overall","2",0.583029411068621,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"19","Overall","Overall",0.907705618430095,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"20","SY_Tepee/DH130910","0",0.796917630106358,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"21","SY_Tepee/DH130910","2",0.693129914670146,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.915922887454012,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"23","Scala/DH130910","0",0.464916013248005,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"24","Scala/DH130910","2",0.246394964418731,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"25","Scala/DH130910","Overall",0.922727008332762,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"26","Wintmalt/DH130910","0",0.880060741242168,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"27","Wintmalt/DH130910","2",0.468517997521613,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"28","Wintmalt/DH130910","Overall",0.915090197838135,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"29","Flavia/DH130910","2",0.756829250638399,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"30","Flavia/DH130910","Overall",0.756829250638399,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"31","Overall","0",0.389366628843024,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"32","Overall","2",0.599659018405112,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"33","Overall","Overall",0.942872479624877,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"34","SY_Tepee/DH130910","0",0.178340549960905,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"35","SY_Tepee/DH130910","2",0.0779934142862101,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"36","SY_Tepee/DH130910","Overall",0.943437889587965,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"37","Scala/DH130910","0",0.337390142978505,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"38","Scala/DH130910","2",0.242892190170649,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"39","Scala/DH130910","Overall",0.944673778442212,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"40","Wintmalt/DH130910","0",0.517968879701649,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"41","Wintmalt/DH130910","2",0.584792619137378,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"42","Wintmalt/DH130910","Overall",0.928834075176462,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"43","Flavia/DH130910","2",0.611782783610957,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"44","Flavia/DH130910","Overall",0.611782783610957,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"45","Overall","0",0.560274011332863,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"46","Overall","2",0.743872279539414,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"47","Overall","Overall",0.939651055605541,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"48","SY_Tepee/DH130910","0",0.518199060687877,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"49","SY_Tepee/DH130910","2",0.753938034920721,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"50","SY_Tepee/DH130910","Overall",0.977952061491534,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"51","Scala/DH130910","0",0.683442308073034,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"52","Scala/DH130910","2",0.662062232984041,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"53","Scala/DH130910","Overall",0.962397489584864,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"54","Wintmalt/DH130910","0",0.635568730831361,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"55","Wintmalt/DH130910","2",0.669626817437532,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"56","Wintmalt/DH130910","Overall",0.875086051198479,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"57","Flavia/DH130910","2",0.732016565621683,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"58","Flavia/DH130910","Overall",0.732016565621683,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"59","Overall","0",0.42985081911103,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"60","Overall","2",0.509570698388738,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"61","Overall","Overall",0.935306785194429,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"62","SY_Tepee/DH130910","0",0.413645737425393,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"63","SY_Tepee/DH130910","2",0.296316186299194,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"64","SY_Tepee/DH130910","Overall",0.940273858461141,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"65","Scala/DH130910","0",0.314358028436884,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"66","Scala/DH130910","2",0.324496018189661,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"67","Scala/DH130910","Overall",0.928963713617854,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
"68","Wintmalt/DH130910","0",0.728227249743581,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2020_2021","Full"
