"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.0889757594049172,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"2","Flavia/DH130910","Overall",0.0889757594049172,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"3","Overall","0",0.519732449299495,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"4","Overall","2",0.0385466631354401,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"5","Overall","Overall",0.431850287125538,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"6","SY_Tepee/DH130910","0",0.159139269267143,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"7","SY_Tepee/DH130910","2",0.512340215825952,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.244535552460531,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"9","Scala/DH130910","0",0.459766783822673,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"10","Scala/DH130910","2",0.138306311404569,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"11","Scala/DH130910","Overall",0.463839225331817,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"12","Wintmalt/DH130910","0",-0.127643920904398,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"13","Wintmalt/DH130910","2",-0.0397099305145212,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"14","Wintmalt/DH130910","Overall",0.0675961326573686,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"15","Flavia/DH130910","2",0.0179750135495303,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"16","Flavia/DH130910","Overall",0.0179750135495303,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"17","Overall","0",0.461110727791,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"18","Overall","2",0.0443053218279067,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"19","Overall","Overall",0.265248454689871,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"20","SY_Tepee/DH130910","0",0.0461135497524998,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"21","SY_Tepee/DH130910","2",0.127286390756073,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.130816865134324,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"23","Scala/DH130910","0",0.565245474279808,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"24","Scala/DH130910","2",0.174928757734986,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"25","Scala/DH130910","Overall",0.495702306455612,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"26","Wintmalt/DH130910","0",0.350225233540557,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"27","Wintmalt/DH130910","2",-0.220268086395049,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"28","Wintmalt/DH130910","Overall",-0.0545893997490796,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"29","Flavia/DH130910","2",0.118729957526282,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"30","Flavia/DH130910","Overall",0.118729957526282,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"31","Overall","0",0.260939327838822,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"32","Overall","2",0.218861034052354,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"33","Overall","Overall",0.169943299351917,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"34","SY_Tepee/DH130910","0",0.229651684478805,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"35","SY_Tepee/DH130910","2",0.229945560674173,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"36","SY_Tepee/DH130910","Overall",0.232093531721691,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"37","Scala/DH130910","0",0.362845836804046,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"38","Scala/DH130910","2",0.188931147066353,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"39","Scala/DH130910","Overall",0.280424226521528,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"40","Wintmalt/DH130910","0",-0.134010841060179,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"41","Wintmalt/DH130910","2",0.277608282990571,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"42","Wintmalt/DH130910","Overall",0.233298703751532,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"43","Flavia/DH130910","2",-0.217299386466261,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"44","Flavia/DH130910","Overall",-0.217299386466261,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"45","Overall","0",0.439458084408186,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"46","Overall","2",0.146976164947304,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"47","Overall","Overall",0.382548675301148,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"48","SY_Tepee/DH130910","0",-0.262266883652946,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"49","SY_Tepee/DH130910","2",-0.4856628662444,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"50","SY_Tepee/DH130910","Overall",-0.342797155715808,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"51","Scala/DH130910","0",0.364139305337144,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"52","Scala/DH130910","2",0.14054679983782,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"53","Scala/DH130910","Overall",0.408957312371908,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"54","Wintmalt/DH130910","0",0.169687195395891,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"55","Wintmalt/DH130910","2",0.316605617210832,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"56","Wintmalt/DH130910","Overall",0.332948788399425,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"57","Flavia/DH130910","2",-0.296514891614991,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"58","Flavia/DH130910","Overall",-0.296514891614991,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"59","Overall","0",0.487285493483924,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"60","Overall","2",0.0832707402708622,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"61","Overall","Overall",0.324949967859393,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"62","SY_Tepee/DH130910","0",-0.510308894754366,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"63","SY_Tepee/DH130910","2",0.0777623823801281,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"64","SY_Tepee/DH130910","Overall",-0.00986551349759861,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"65","Scala/DH130910","0",0.471142899093123,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"66","Scala/DH130910","2",0.23669279606788,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"67","Scala/DH130910","Overall",0.535895538109535,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"68","Wintmalt/DH130910","0",-0.326075062467715,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"69","Wintmalt/DH130910","2",0.0719083242295998,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"70","Wintmalt/DH130910","Overall",0.10862924081003,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"71","Flavia/DH130910","2",-0.0746980783450275,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"72","Flavia/DH130910","Overall",-0.0746980783450275,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"73","Overall","0",0.513065608941577,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"74","Overall","2",0.103466388301444,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"75","Overall","Overall",0.406400331706811,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"76","SY_Tepee/DH130910","0",0.16494295409338,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"77","SY_Tepee/DH130910","2",0.252255569842505,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"78","SY_Tepee/DH130910","Overall",0.231742538169807,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"79","Scala/DH130910","0",0.429439454667306,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"80","Scala/DH130910","2",0.526364663099542,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"81","Scala/DH130910","Overall",0.444269465100598,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"82","Wintmalt/DH130910","0",-0.105043073904623,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"83","Wintmalt/DH130910","2",-0.0346921023919024,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"84","Wintmalt/DH130910","Overall",0.00907375229179571,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"85","Flavia/DH130910","2",0.285116393657637,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"86","Flavia/DH130910","Overall",0.285116393657637,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"87","Overall","0",0.478159338089632,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"88","Overall","2",0.140469230946019,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"89","Overall","Overall",0.417262310869467,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"90","SY_Tepee/DH130910","0",-0.493553491441559,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"91","SY_Tepee/DH130910","2",-0.136343353889126,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"92","SY_Tepee/DH130910","Overall",-0.247916442779546,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"93","Scala/DH130910","0",0.432135682967529,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"94","Scala/DH130910","2",-0.0948953348733353,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"95","Scala/DH130910","Overall",0.500231584148126,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"96","Wintmalt/DH130910","0",0.162483398743504,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"97","Wintmalt/DH130910","2",0.155055505287004,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"98","Wintmalt/DH130910","Overall",0.137079514627088,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"99","Flavia/DH130910","2",0.080628970535417,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"100","Flavia/DH130910","Overall",0.080628970535417,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"101","Overall","0",0.503748090794808,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"102","Overall","2",0.187104258294128,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"103","Overall","Overall",0.37979330641407,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"104","SY_Tepee/DH130910","0",-0.0216203645905114,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"105","SY_Tepee/DH130910","2",0.271740157767586,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"106","SY_Tepee/DH130910","Overall",0.22424210906362,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"107","Scala/DH130910","0",0.492930075607678,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"108","Scala/DH130910","2",-0.265456168012438,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"109","Scala/DH130910","Overall",0.490374402832743,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"110","Wintmalt/DH130910","0",-0.0873020981612296,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"111","Wintmalt/DH130910","2",0.22435515526412,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"112","Wintmalt/DH130910","Overall",0.300554486873076,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"113","Flavia/DH130910","2",-0.277051884646912,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"114","Flavia/DH130910","Overall",-0.277051884646912,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"115","Overall","0",0.34366417267021,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"116","Overall","2",0.0828846076561961,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"117","Overall","Overall",0.27572466537806,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"118","SY_Tepee/DH130910","0",0.192206150759245,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"119","SY_Tepee/DH130910","2",0.233239086357531,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"120","SY_Tepee/DH130910","Overall",0.215660759358097,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"121","Scala/DH130910","0",0.3203284390032,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"122","Scala/DH130910","2",0.269436854023322,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"123","Scala/DH130910","Overall",0.361987471621096,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"124","Wintmalt/DH130910","0",-0.263932204311322,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"125","Wintmalt/DH130910","2",0.231463477422687,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"126","Wintmalt/DH130910","Overall",0.117922646209409,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"127","Flavia/DH130910","2",0.370322496758382,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"128","Flavia/DH130910","Overall",0.370322496758382,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"129","Overall","0",0.0581629094238118,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"130","Overall","2",0.303762202678828,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"131","Overall","Overall",0.123567797372129,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"132","SY_Tepee/DH130910","0",0.475560720434099,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"133","SY_Tepee/DH130910","2",0.425787572739908,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"134","SY_Tepee/DH130910","Overall",0.346527099251927,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"135","Scala/DH130910","0",0.0319923542830535,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"136","Scala/DH130910","2",0.0344058389193952,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"137","Scala/DH130910","Overall",0.0726682198307654,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"138","Wintmalt/DH130910","0",-0.0917724328872732,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"139","Wintmalt/DH130910","2",0.14323367239611,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"140","Wintmalt/DH130910","Overall",0.0633491233031427,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"141","DH130910","2",NA,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"142","DH130910","Overall",NA,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"143","Flavia/DH130910","2",-0.281775809179168,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
"144","Flavia/DH130910","Overall",-0.281775809179168,"Qsd1byFam_JCWithFixEff.eta","TP5_GE_2020_2021","Full"
