"","Family","Qsd1","correlation","trait","Population","Model"
"1","DH130910","2",NA,"TP3_GE","Full","Base"
"2","DH130910","Overall",NA,"TP3_GE","Full","Base"
"3","Flavia/DH130910","2",0.233535378088669,"TP3_GE","Full","Base"
"4","Flavia/DH130910","Overall",0.233535378088669,"TP3_GE","Full","Base"
"5","Overall","0",0.136250628954945,"TP3_GE","Full","Base"
"6","Overall","2",0.442355201380854,"TP3_GE","Full","Base"
"7","Overall","Overall",0.75357689618079,"TP3_GE","Full","Base"
"8","Scala/DH130910","0",-0.0795403662351119,"TP3_GE","Full","Base"
"9","Scala/DH130910","2",-0.00708705372225562,"TP3_GE","Full","Base"
"10","Scala/DH130910","Overall",0.600067732005988,"TP3_GE","Full","Base"
"11","SY_Tepee/DH130910","0",0.00734994817131045,"TP3_GE","Full","Base"
"12","SY_Tepee/DH130910","2",0.577109786665527,"TP3_GE","Full","Base"
"13","SY_Tepee/DH130910","Overall",0.767277106880815,"TP3_GE","Full","Base"
"14","Wintmalt/DH130910","0",0.470435494040666,"TP3_GE","Full","Base"
"15","Wintmalt/DH130910","2",0.716021414953317,"TP3_GE","Full","Base"
"16","Wintmalt/DH130910","Overall",0.904935802750984,"TP3_GE","Full","Base"
"17","DH130910","2",NA,"TP3_GE","Full","Base"
"18","DH130910","Overall",NA,"TP3_GE","Full","Base"
"19","Flavia/DH130910","2",0.184912949671919,"TP3_GE","Full","Base"
"20","Flavia/DH130910","Overall",0.184912949671919,"TP3_GE","Full","Base"
"21","Overall","0",0.0162644109950311,"TP3_GE","Full","Base"
"22","Overall","2",0.410803427138253,"TP3_GE","Full","Base"
"23","Overall","Overall",0.753509830531237,"TP3_GE","Full","Base"
"24","Scala/DH130910","0",-0.102335933213199,"TP3_GE","Full","Base"
"25","Scala/DH130910","2",0.316880974924482,"TP3_GE","Full","Base"
"26","Scala/DH130910","Overall",0.654629467238825,"TP3_GE","Full","Base"
"27","SY_Tepee/DH130910","0",0.0878987679108065,"TP3_GE","Full","Base"
"28","SY_Tepee/DH130910","2",0.183721180771418,"TP3_GE","Full","Base"
"29","SY_Tepee/DH130910","Overall",0.793058138940301,"TP3_GE","Full","Base"
"30","Wintmalt/DH130910","0",0.205438601075338,"TP3_GE","Full","Base"
"31","Wintmalt/DH130910","2",0.681203090136458,"TP3_GE","Full","Base"
"32","Wintmalt/DH130910","Overall",0.826810323289734,"TP3_GE","Full","Base"
"33","Flavia/DH130910","2",0.533269370685968,"TP3_GE","Full","Base"
"34","Flavia/DH130910","Overall",0.533269370685968,"TP3_GE","Full","Base"
"35","Overall","0",0.00517542477508106,"TP3_GE","Full","Base"
"36","Overall","2",0.470993600094217,"TP3_GE","Full","Base"
"37","Overall","Overall",0.743114250629234,"TP3_GE","Full","Base"
"38","Scala/DH130910","0",0.286653205010265,"TP3_GE","Full","Base"
"39","Scala/DH130910","2",0.323869088947122,"TP3_GE","Full","Base"
"40","Scala/DH130910","Overall",0.734161612857112,"TP3_GE","Full","Base"
"41","SY_Tepee/DH130910","0",-0.221741238843698,"TP3_GE","Full","Base"
"42","SY_Tepee/DH130910","2",0.57979255798389,"TP3_GE","Full","Base"
"43","SY_Tepee/DH130910","Overall",0.743856058563264,"TP3_GE","Full","Base"
"44","Wintmalt/DH130910","0",0.00582599744452268,"TP3_GE","Full","Base"
"45","Wintmalt/DH130910","2",0.499885251784148,"TP3_GE","Full","Base"
"46","Wintmalt/DH130910","Overall",0.712003200432669,"TP3_GE","Full","Base"
"47","DH130910","2",NA,"TP3_GE","Full","Base"
"48","DH130910","Overall",NA,"TP3_GE","Full","Base"
"49","Flavia/DH130910","2",0.0538982580675374,"TP3_GE","Full","Base"
"50","Flavia/DH130910","Overall",0.0538982580675374,"TP3_GE","Full","Base"
"51","Overall","0",-0.0242436757344066,"TP3_GE","Full","Base"
"52","Overall","2",0.288886372528134,"TP3_GE","Full","Base"
"53","Overall","Overall",0.749030881943736,"TP3_GE","Full","Base"
"54","Scala/DH130910","0",-0.0066703991198935,"TP3_GE","Full","Base"
"55","Scala/DH130910","2",0.645173485212594,"TP3_GE","Full","Base"
"56","Scala/DH130910","Overall",0.747373985103969,"TP3_GE","Full","Base"
"57","SY_Tepee/DH130910","0",-0.178731265350284,"TP3_GE","Full","Base"
"58","SY_Tepee/DH130910","2",0.301150990712541,"TP3_GE","Full","Base"
"59","SY_Tepee/DH130910","Overall",0.80218038006017,"TP3_GE","Full","Base"
"60","Wintmalt/DH130910","0",0.0429094676925296,"TP3_GE","Full","Base"
"61","Wintmalt/DH130910","2",0.0282136696170435,"TP3_GE","Full","Base"
