"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.348703769650854,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"2","Flavia/DH130910","Overall",0.348703769650854,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"3","Overall","0",0.546534469705737,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"4","Overall","2",0.343481059210021,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"5","Overall","Overall",0.699580048186141,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"6","SY_Tepee/DH130910","0",0.442094297653054,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"7","SY_Tepee/DH130910","2",-0.129441201871509,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.566113865839081,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"9","Scala/DH130910","0",0.38182540561872,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"10","Scala/DH130910","2",0.259975875401792,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"11","Scala/DH130910","Overall",0.619520912394724,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"12","Wintmalt/DH130910","0",0.543990127040572,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"13","Wintmalt/DH130910","2",0.305624638847772,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"14","Wintmalt/DH130910","Overall",0.737328352150093,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"15","Flavia/DH130910","2",0.10487796719371,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"16","Flavia/DH130910","Overall",0.10487796719371,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"17","Overall","0",0.766494292319868,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"18","Overall","2",0.46835723441073,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"19","Overall","Overall",0.740991787214551,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"20","SY_Tepee/DH130910","0",0.750951882134909,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"21","SY_Tepee/DH130910","2",0.389661372380272,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.681125650259338,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"23","Scala/DH130910","0",0.666958502761035,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"24","Scala/DH130910","2",0.286859742789454,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"25","Scala/DH130910","Overall",0.703095767659279,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"26","Wintmalt/DH130910","0",0.807970781469779,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"27","Wintmalt/DH130910","2",0.441271678627985,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"28","Wintmalt/DH130910","Overall",0.783447650238195,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"29","Flavia/DH130910","2",0.464573444374864,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"30","Flavia/DH130910","Overall",0.464573444374864,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"31","Overall","0",0.627157249329452,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"32","Overall","2",0.632234759375943,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"33","Overall","Overall",0.727218258143859,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"34","SY_Tepee/DH130910","0",0.417010250897681,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"35","SY_Tepee/DH130910","2",0.235910860772651,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"36","SY_Tepee/DH130910","Overall",0.609432216401619,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"37","Scala/DH130910","0",0.65304406440745,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"38","Scala/DH130910","2",0.137517523019233,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"39","Scala/DH130910","Overall",0.765354166654346,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"40","Wintmalt/DH130910","0",0.690091657630108,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"41","Wintmalt/DH130910","2",0.765656494104031,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"42","Wintmalt/DH130910","Overall",0.757327655553502,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"43","Flavia/DH130910","2",0.362883225504776,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"44","Flavia/DH130910","Overall",0.362883225504776,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"45","Overall","0",0.426731715420239,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"46","Overall","2",0.611769005783088,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"47","Overall","Overall",0.650460447067905,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"48","SY_Tepee/DH130910","0",0.532285175709667,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"49","SY_Tepee/DH130910","2",0.450674034105185,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"50","SY_Tepee/DH130910","Overall",0.678779292049789,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
"51","Scala/DH130910","0",0.372485350578141,"Qsd1byFam_JCWithFixEff.eta","TP1_GE_2020_2021","Full"
