"","Family","Qsd1","correlation","trait","Population","Model"
"1","DH130910","2",NA,"TP1_GI","Full","Base"
"2","DH130910","Overall",NA,"TP1_GI","Full","Base"
"3","Flavia/DH130910","2",0.299768758331674,"TP1_GI","Full","Base"
"4","Flavia/DH130910","Overall",0.299768758331674,"TP1_GI","Full","Base"
"5","Overall","0",0.547191506336448,"TP1_GI","Full","Base"
"6","Overall","2",0.48028907538375,"TP1_GI","Full","Base"
"7","Overall","Overall",0.660035678262135,"TP1_GI","Full","Base"
"8","Scala/DH130910","0",0.553747103425595,"TP1_GI","Full","Base"
"9","Scala/DH130910","2",0.351402597288126,"TP1_GI","Full","Base"
"10","Scala/DH130910","Overall",0.678535262514143,"TP1_GI","Full","Base"
"11","SY_Tepee/DH130910","0",0.413792915174945,"TP1_GI","Full","Base"
"12","SY_Tepee/DH130910","2",0.517054161998959,"TP1_GI","Full","Base"
"13","SY_Tepee/DH130910","Overall",0.570180628831414,"TP1_GI","Full","Base"
"14","Wintmalt/DH130910","0",0.572672597825047,"TP1_GI","Full","Base"
"15","Wintmalt/DH130910","2",0.762956638789205,"TP1_GI","Full","Base"
"16","Wintmalt/DH130910","Overall",0.711868873368913,"TP1_GI","Full","Base"
"17","DH130910","2",NA,"TP1_GI","Full","Base"
"18","DH130910","Overall",NA,"TP1_GI","Full","Base"
"19","Flavia/DH130910","2",0.192794099188574,"TP1_GI","Full","Base"
"20","Flavia/DH130910","Overall",0.192794099188574,"TP1_GI","Full","Base"
"21","Overall","0",0.74226912322772,"TP1_GI","Full","Base"
"22","Overall","2",0.483978349061334,"TP1_GI","Full","Base"
"23","Overall","Overall",0.685369324862051,"TP1_GI","Full","Base"
"24","Scala/DH130910","0",0.690324006416663,"TP1_GI","Full","Base"
"25","Scala/DH130910","2",0.301264590611595,"TP1_GI","Full","Base"
"26","Scala/DH130910","Overall",0.685475448885175,"TP1_GI","Full","Base"
"27","SY_Tepee/DH130910","0",0.419125733298016,"TP1_GI","Full","Base"
"28","SY_Tepee/DH130910","2",0.0462657440116095,"TP1_GI","Full","Base"
"29","SY_Tepee/DH130910","Overall",0.569594998025847,"TP1_GI","Full","Base"
"30","Wintmalt/DH130910","0",0.911012436873781,"TP1_GI","Full","Base"
"31","Wintmalt/DH130910","2",0.769472800895301,"TP1_GI","Full","Base"
"32","Wintmalt/DH130910","Overall",0.840160609587405,"TP1_GI","Full","Base"
"33","Flavia/DH130910","2",0.703817683262516,"TP1_GI","Full","Base"
"34","Flavia/DH130910","Overall",0.703817683262516,"TP1_GI","Full","Base"
"35","Overall","0",0.538226035120855,"TP1_GI","Full","Base"
"36","Overall","2",0.645547919565413,"TP1_GI","Full","Base"
"37","Overall","Overall",0.678892919185606,"TP1_GI","Full","Base"
"38","Scala/DH130910","0",0.618765043846028,"TP1_GI","Full","Base"
"39","Scala/DH130910","2",-0.189207970111398,"TP1_GI","Full","Base"
