"","Family","Qsd1","correlation","trait","Population","Model"
"1","DH130910","2",NA,"TP1_GE","Full","Base"
"2","DH130910","Overall",NA,"TP1_GE","Full","Base"
"3","Flavia/DH130910","2",0.272961443244497,"TP1_GE","Full","Base"
"4","Flavia/DH130910","Overall",0.272961443244497,"TP1_GE","Full","Base"
"5","Overall","0",0.55883257055832,"TP1_GE","Full","Base"
"6","Overall","2",0.493888477907143,"TP1_GE","Full","Base"
"7","Overall","Overall",0.671832337304813,"TP1_GE","Full","Base"
"8","Scala/DH130910","0",0.56552397240326,"TP1_GE","Full","Base"
"9","Scala/DH130910","2",0.351477612075627,"TP1_GE","Full","Base"
"10","Scala/DH130910","Overall",0.688158125554114,"TP1_GE","Full","Base"
"11","SY_Tepee/DH130910","0",0.417290195790427,"TP1_GE","Full","Base"
"12","SY_Tepee/DH130910","2",0.497118858217209,"TP1_GE","Full","Base"
"13","SY_Tepee/DH130910","Overall",0.573667766018984,"TP1_GE","Full","Base"
"14","Wintmalt/DH130910","0",0.654191230319641,"TP1_GE","Full","Base"
"15","Wintmalt/DH130910","2",0.746957583300395,"TP1_GE","Full","Base"
"16","Wintmalt/DH130910","Overall",0.740269192584329,"TP1_GE","Full","Base"
"17","DH130910","2",NA,"TP1_GE","Full","Base"
"18","DH130910","Overall",NA,"TP1_GE","Full","Base"
"19","Flavia/DH130910","2",0.173681965302184,"TP1_GE","Full","Base"
"20","Flavia/DH130910","Overall",0.173681965302184,"TP1_GE","Full","Base"
"21","Overall","0",0.779933294553288,"TP1_GE","Full","Base"
"22","Overall","2",0.520138113776858,"TP1_GE","Full","Base"
"23","Overall","Overall",0.719680787228736,"TP1_GE","Full","Base"
"24","Scala/DH130910","0",0.680718643609153,"TP1_GE","Full","Base"
"25","Scala/DH130910","2",0.303013711717119,"TP1_GE","Full","Base"
"26","Scala/DH130910","Overall",0.682704855632802,"TP1_GE","Full","Base"
"27","SY_Tepee/DH130910","0",0.356639461760996,"TP1_GE","Full","Base"
"28","SY_Tepee/DH130910","2",0.0588543306188452,"TP1_GE","Full","Base"
"29","SY_Tepee/DH130910","Overall",0.570834267667957,"TP1_GE","Full","Base"
"30","Wintmalt/DH130910","0",0.921664957316471,"TP1_GE","Full","Base"
"31","Wintmalt/DH130910","2",0.801425131743419,"TP1_GE","Full","Base"
"32","Wintmalt/DH130910","Overall",0.85503867820836,"TP1_GE","Full","Base"
"33","Flavia/DH130910","2",0.700937128743458,"TP1_GE","Full","Base"
"34","Flavia/DH130910","Overall",0.700937128743458,"TP1_GE","Full","Base"
"35","Overall","0",0.530202328097392,"TP1_GE","Full","Base"
"36","Overall","2",0.66537842240915,"TP1_GE","Full","Base"
"37","Overall","Overall",0.694544755242619,"TP1_GE","Full","Base"
"38","Scala/DH130910","0",0.640423610056088,"TP1_GE","Full","Base"
"39","Scala/DH130910","2",-0.141107271028875,"TP1_GE","Full","Base"
"40","Scala/DH130910","Overall",0.700256366011867,"TP1_GE","Full","Base"
"41","SY_Tepee/DH130910","0",0.192730446953323,"TP1_GE","Full","Base"
"42","SY_Tepee/DH130910","2",0.701390598970786,"TP1_GE","Full","Base"
"43","SY_Tepee/DH130910","Overall",0.589875707388314,"TP1_GE","Full","Base"
"44","Wintmalt/DH130910","0",0.641418726033862,"TP1_GE","Full","Base"
"45","Wintmalt/DH130910","2",0.813256455464257,"TP1_GE","Full","Base"
"46","Wintmalt/DH130910","Overall",0.766567529010029,"TP1_GE","Full","Base"
"47","DH130910","2",NA,"TP1_GE","Full","Base"
"48","DH130910","Overall",NA,"TP1_GE","Full","Base"
"49","Flavia/DH130910","2",0.0637105990685384,"TP1_GE","Full","Base"
"50","Flavia/DH130910","Overall",0.0637105990685384,"TP1_GE","Full","Base"
"51","Overall","0",0.727695847125608,"TP1_GE","Full","Base"
"52","Overall","2",0.423761266900068,"TP1_GE","Full","Base"
"53","Overall","Overall",0.737437826445302,"TP1_GE","Full","Base"
"54","Scala/DH130910","0",0.689813155341249,"TP1_GE","Full","Base"
"55","Scala/DH130910","2",0.393442452036337,"TP1_GE","Full","Base"
"56","Scala/DH130910","Overall",0.745206470495755,"TP1_GE","Full","Base"
"57","SY_Tepee/DH130910","0",0.540817648649196,"TP1_GE","Full","Base"
"58","SY_Tepee/DH130910","2",0.0201062360570851,"TP1_GE","Full","Base"
"59","SY_Tepee/DH130910","Overall",0.663338733244893,"TP1_GE","Full","Base"
"60","Wintmalt/DH130910","0",0.828473973564957,"TP1_GE","Full","Base"
"61","Wintmalt/DH130910","2",0.489483347442088,"TP1_GE","Full","Base"
"62","Wintmalt/DH130910","Overall",0.832083209396005,"TP1_GE","Full","Base"
"63","Flavia/DH130910","2",0.533131651090103,"TP1_GE","Full","Base"
"64","Flavia/DH130910","Overall",0.533131651090103,"TP1_GE","Full","Base"
"65","Overall","0",0.57274105842552,"TP1_GE","Full","Base"
"66","Overall","2",0.460905758062737,"TP1_GE","Full","Base"
"67","Overall","Overall",0.703477811850975,"TP1_GE","Full","Base"
"68","Scala/DH130910","0",0.645656065724895,"TP1_GE","Full","Base"
"69","Scala/DH130910","2",0.55731605777949,"TP1_GE","Full","Base"
"70","Scala/DH130910","Overall",0.780384936551022,"TP1_GE","Full","Base"
"71","SY_Tepee/DH130910","0",0.412587974837039,"TP1_GE","Full","Base"
"72","SY_Tepee/DH130910","2",-0.283343825471726,"TP1_GE","Full","Base"
"73","SY_Tepee/DH130910","Overall",0.620994716718004,"TP1_GE","Full","Base"
"74","Wintmalt/DH130910","0",0.718706258126795,"TP1_GE","Full","Base"
"75","Wintmalt/DH130910","2",0.457590739171613,"TP1_GE","Full","Base"
