"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.310674295768368,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"2","Flavia/DH130910","Overall",0.310674295768368,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"3","Overall","0",0.492938485049924,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"4","Overall","2",0.314181034904614,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"5","Overall","Overall",0.663765120272794,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"6","SY_Tepee/DH130910","0",0.450237103550231,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"7","SY_Tepee/DH130910","2",-0.325881438726541,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.523724529124754,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"9","Scala/DH130910","0",0.211663297437186,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"10","Scala/DH130910","2",0.303551898884544,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"11","Scala/DH130910","Overall",0.548964624155623,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"12","Wintmalt/DH130910","0",0.550738342683161,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"13","Wintmalt/DH130910","2",0.329291665771228,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"14","Wintmalt/DH130910","Overall",0.730317995522577,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"15","Flavia/DH130910","2",0.109193831411673,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"16","Flavia/DH130910","Overall",0.109193831411673,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"17","Overall","0",0.754679041859322,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"18","Overall","2",0.435965359168216,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"19","Overall","Overall",0.723026601250927,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"20","SY_Tepee/DH130910","0",0.747907248345189,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"21","SY_Tepee/DH130910","2",0.325363879670981,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.612549772717502,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"23","Scala/DH130910","0",0.599503610327407,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"24","Scala/DH130910","2",0.288207063045891,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"25","Scala/DH130910","Overall",0.642556426605407,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"26","Wintmalt/DH130910","0",0.8020357058367,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"27","Wintmalt/DH130910","2",0.416596718761716,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"28","Wintmalt/DH130910","Overall",0.78357207149983,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"29","Flavia/DH130910","2",0.420791120692206,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"30","Flavia/DH130910","Overall",0.420791120692206,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"31","Overall","0",0.59139519839452,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"32","Overall","2",0.597963145283678,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"33","Overall","Overall",0.695896893697076,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"34","SY_Tepee/DH130910","0",0.34061934247085,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"35","SY_Tepee/DH130910","2",0.215382859961644,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"36","SY_Tepee/DH130910","Overall",0.556642166422668,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"37","Scala/DH130910","0",0.603937205243493,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"38","Scala/DH130910","2",0.22945005490714,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"39","Scala/DH130910","Overall",0.72849878201327,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"40","Wintmalt/DH130910","0",0.709756760752195,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"41","Wintmalt/DH130910","2",0.739826922351824,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"42","Wintmalt/DH130910","Overall",0.749920336092137,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"43","Flavia/DH130910","2",0.386079635733007,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"44","Flavia/DH130910","Overall",0.386079635733007,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"45","Overall","0",0.404394341511873,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"46","Overall","2",0.593529700758519,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"47","Overall","Overall",0.605519977043646,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"48","SY_Tepee/DH130910","0",0.532040440657336,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"49","SY_Tepee/DH130910","2",0.499469233019955,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"50","SY_Tepee/DH130910","Overall",0.675432385997521,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"51","Scala/DH130910","0",0.320042580310277,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"52","Scala/DH130910","2",0.687292432843332,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"53","Scala/DH130910","Overall",0.574705452131777,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"54","Wintmalt/DH130910","0",0.349038431015033,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"55","Wintmalt/DH130910","2",0.546714355269096,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"56","Wintmalt/DH130910","Overall",0.601163287794931,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"57","Flavia/DH130910","2",0.407471188392389,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"58","Flavia/DH130910","Overall",0.407471188392389,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"59","Overall","0",0.612239504891249,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"60","Overall","2",0.413971695894789,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"61","Overall","Overall",0.704916087763534,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
"62","SY_Tepee/DH130910","0",0.691408450870063,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2020_2021","Full"
