"","Family","Qsd1","correlation","trait","Population","Model"
"1","DH130910","2",NA,"TP2_GI","Full","Base"
"2","DH130910","Overall",NA,"TP2_GI","Full","Base"
"3","Flavia/DH130910","2",0.478403024728519,"TP2_GI","Full","Base"
"4","Flavia/DH130910","Overall",0.478403024728519,"TP2_GI","Full","Base"
"5","Overall","0",0.315868603593417,"TP2_GI","Full","Base"
"6","Overall","2",0.638278191825472,"TP2_GI","Full","Base"
"7","Overall","Overall",0.881178349885287,"TP2_GI","Full","Base"
"8","Scala/DH130910","0",0.169734308522541,"TP2_GI","Full","Base"
"9","Scala/DH130910","2",0.279871732269008,"TP2_GI","Full","Base"
"10","Scala/DH130910","Overall",0.788175564868797,"TP2_GI","Full","Base"
"11","SY_Tepee/DH130910","0",0.354675417654106,"TP2_GI","Full","Base"
"12","SY_Tepee/DH130910","2",0.745806277983819,"TP2_GI","Full","Base"
"13","SY_Tepee/DH130910","Overall",0.894674797287492,"TP2_GI","Full","Base"
"14","Wintmalt/DH130910","0",0.643307789934311,"TP2_GI","Full","Base"
"15","Wintmalt/DH130910","2",0.715996739343159,"TP2_GI","Full","Base"
"16","Wintmalt/DH130910","Overall",0.955934139195895,"TP2_GI","Full","Base"
"17","DH130910","2",NA,"TP2_GI","Full","Base"
"18","DH130910","Overall",NA,"TP2_GI","Full","Base"
"19","Flavia/DH130910","2",0.0540482128856603,"TP2_GI","Full","Base"
"20","Flavia/DH130910","Overall",0.0540482128856603,"TP2_GI","Full","Base"
"21","Overall","0",0.372404210948501,"TP2_GI","Full","Base"
"22","Overall","2",0.557855129982545,"TP2_GI","Full","Base"
"23","Overall","Overall",0.878397061049674,"TP2_GI","Full","Base"
"24","Scala/DH130910","0",0.18906490198944,"TP2_GI","Full","Base"
"25","Scala/DH130910","2",0.358998292929596,"TP2_GI","Full","Base"
"26","Scala/DH130910","Overall",0.790611711373141,"TP2_GI","Full","Base"
"27","SY_Tepee/DH130910","0",-0.672151712866166,"TP2_GI","Full","Base"
"28","SY_Tepee/DH130910","2",0.319467704674687,"TP2_GI","Full","Base"
"29","SY_Tepee/DH130910","Overall",0.912485123143095,"TP2_GI","Full","Base"
"30","Wintmalt/DH130910","0",0.747639623136939,"TP2_GI","Full","Base"
"31","Wintmalt/DH130910","2",0.804536374036906,"TP2_GI","Full","Base"
"32","Wintmalt/DH130910","Overall",0.940103806183549,"TP2_GI","Full","Base"
"33","Flavia/DH130910","2",0.772907138675271,"TP2_GI","Full","Base"
"34","Flavia/DH130910","Overall",0.772907138675271,"TP2_GI","Full","Base"
"35","Overall","0",0.326377836418635,"TP2_GI","Full","Base"
"36","Overall","2",0.712678588143725,"TP2_GI","Full","Base"
"37","Overall","Overall",0.881189410661607,"TP2_GI","Full","Base"
"38","Scala/DH130910","0",0.364843807490037,"TP2_GI","Full","Base"
"39","Scala/DH130910","2",0.12514005291774,"TP2_GI","Full","Base"
"40","Scala/DH130910","Overall",0.829465712466259,"TP2_GI","Full","Base"
"41","SY_Tepee/DH130910","0",0.18066209777491,"TP2_GI","Full","Base"
"42","SY_Tepee/DH130910","2",0.869966678831814,"TP2_GI","Full","Base"
"43","SY_Tepee/DH130910","Overall",0.929714980733588,"TP2_GI","Full","Base"
"44","Wintmalt/DH130910","0",0.641977470097693,"TP2_GI","Full","Base"
"45","Wintmalt/DH130910","2",0.697553843528812,"TP2_GI","Full","Base"
"46","Wintmalt/DH130910","Overall",0.880079209088426,"TP2_GI","Full","Base"
"47","DH130910","2",NA,"TP2_GI","Full","Base"
"48","DH130910","Overall",NA,"TP2_GI","Full","Base"
"49","Flavia/DH130910","2",0.137275914712101,"TP2_GI","Full","Base"
"50","Flavia/DH130910","Overall",0.137275914712101,"TP2_GI","Full","Base"
"51","Overall","0",0.38984966903852,"TP2_GI","Full","Base"
"52","Overall","2",0.408317038384339,"TP2_GI","Full","Base"
"53","Overall","Overall",0.891862803694605,"TP2_GI","Full","Base"
"54","Scala/DH130910","0",0.238308602509767,"TP2_GI","Full","Base"
"55","Scala/DH130910","2",0.497260097228363,"TP2_GI","Full","Base"
"56","Scala/DH130910","Overall",0.844905653485226,"TP2_GI","Full","Base"
"57","SY_Tepee/DH130910","0",0.286109043768373,"TP2_GI","Full","Base"
"58","SY_Tepee/DH130910","2",0.234313025038999,"TP2_GI","Full","Base"
"59","SY_Tepee/DH130910","Overall",0.91962361217318,"TP2_GI","Full","Base"
"60","Wintmalt/DH130910","0",0.69095925980731,"TP2_GI","Full","Base"
"61","Wintmalt/DH130910","2",0.270764462727851,"TP2_GI","Full","Base"
"62","Wintmalt/DH130910","Overall",0.909959352134265,"TP2_GI","Full","Base"
"63","Flavia/DH130910","2",0.327539420934422,"TP2_GI","Full","Base"
"64","Flavia/DH130910","Overall",0.327539420934422,"TP2_GI","Full","Base"
"65","Overall","0",0.258125487439289,"TP2_GI","Full","Base"
"66","Overall","2",0.493788375334174,"TP2_GI","Full","Base"
"67","Overall","Overall",0.887159485447755,"TP2_GI","Full","Base"
"68","Scala/DH130910","0",-0.00617890387787351,"TP2_GI","Full","Base"
"69","Scala/DH130910","2",0.0963338953277628,"TP2_GI","Full","Base"
"70","Scala/DH130910","Overall",0.784267043413632,"TP2_GI","Full","Base"
"71","SY_Tepee/DH130910","0",0.22029750766573,"TP2_GI","Full","Base"
"72","SY_Tepee/DH130910","2",0.349865547146779,"TP2_GI","Full","Base"
"73","SY_Tepee/DH130910","Overall",0.915064692445242,"TP2_GI","Full","Base"
"74","Wintmalt/DH130910","0",0.708704794621596,"TP2_GI","Full","Base"
"75","Wintmalt/DH130910","2",0.558811594935163,"TP2_GI","Full","Base"
"76","Wintmalt/DH130910","Overall",0.936989067059009,"TP2_GI","Full","Base"
"77","DH130910","2",NA,"TP2_GI","Full","Base"
"78","DH130910","Overall",NA,"TP2_GI","Full","Base"
"79","Flavia/DH130910","2",0.36946960387868,"TP2_GI","Full","Base"
"80","Flavia/DH130910","Overall",0.36946960387868,"TP2_GI","Full","Base"
"81","Overall","0",0.449949571672622,"TP2_GI","Full","Base"
"82","Overall","2",0.664971607135526,"TP2_GI","Full","Base"
"83","Overall","Overall",0.906703479870073,"TP2_GI","Full","Base"
"84","Scala/DH130910","0",0.331723690497177,"TP2_GI","Full","Base"
"85","Scala/DH130910","2",0.461299347531987,"TP2_GI","Full","Base"
"86","Scala/DH130910","Overall",0.877043451617215,"TP2_GI","Full","Base"
"87","SY_Tepee/DH130910","0",0.342731620675909,"TP2_GI","Full","Base"
"88","SY_Tepee/DH130910","2",0.707906918604927,"TP2_GI","Full","Base"
"89","SY_Tepee/DH130910","Overall",0.963555123584991,"TP2_GI","Full","Base"
"90","Wintmalt/DH130910","0",0.597779664688913,"TP2_GI","Full","Base"
"91","Wintmalt/DH130910","2",0.61177006887357,"TP2_GI","Full","Base"
"92","Wintmalt/DH130910","Overall",0.867122262546821,"TP2_GI","Full","Base"
"93","Flavia/DH130910","2",0.316085083639744,"TP2_GI","Full","Base"
"94","Flavia/DH130910","Overall",0.316085083639744,"TP2_GI","Full","Base"
"95","Overall","0",0.44445653519783,"TP2_GI","Full","Base"
"96","Overall","2",0.649226167411558,"TP2_GI","Full","Base"
"97","Overall","Overall",0.921998622680335,"TP2_GI","Full","Base"
"98","Scala/DH130910","0",0.312844877673128,"TP2_GI","Full","Base"
"99","Scala/DH130910","2",0.298787580191058,"TP2_GI","Full","Base"
"100","Scala/DH130910","Overall",0.894005454174453,"TP2_GI","Full","Base"
"101","SY_Tepee/DH130910","0",0.491098477938628,"TP2_GI","Full","Base"
"102","SY_Tepee/DH130910","2",0.365329726835291,"TP2_GI","Full","Base"
"103","SY_Tepee/DH130910","Overall",0.937933013174602,"TP2_GI","Full","Base"
"104","Wintmalt/DH130910","0",0.520223513610817,"TP2_GI","Full","Base"
"105","Wintmalt/DH130910","2",0.844263302594382,"TP2_GI","Full","Base"
"106","Wintmalt/DH130910","Overall",0.94541208587212,"TP2_GI","Full","Base"
"107","Flavia/DH130910","2",0.888021552263582,"TP2_GI","Full","Base"
"108","Flavia/DH130910","Overall",0.888021552263582,"TP2_GI","Full","Base"
"109","Overall","0",0.353869678569085,"TP2_GI","Full","Base"
"110","Overall","2",0.575391505962756,"TP2_GI","Full","Base"
"111","Overall","Overall",0.884927769456503,"TP2_GI","Full","Base"
"112","Scala/DH130910","0",0.250520667437298,"TP2_GI","Full","Base"
"113","Scala/DH130910","2",0.237530734437559,"TP2_GI","Full","Base"
"114","Scala/DH130910","Overall",0.878877027920384,"TP2_GI","Full","Base"
"115","SY_Tepee/DH130910","0",0.246101471679648,"TP2_GI","Full","Base"
"116","SY_Tepee/DH130910","2",0.203565239839277,"TP2_GI","Full","Base"
"117","SY_Tepee/DH130910","Overall",0.893902828026169,"TP2_GI","Full","Base"
"118","Wintmalt/DH130910","0",0.706827044239695,"TP2_GI","Full","Base"
"119","Wintmalt/DH130910","2",0.39636599254608,"TP2_GI","Full","Base"
"120","Wintmalt/DH130910","Overall",0.85964316159388,"TP2_GI","Full","Base"
"121","Flavia/DH130910","2",0.481948903545306,"TP2_GI","Full","Base"
"122","Flavia/DH130910","Overall",0.481948903545306,"TP2_GI","Full","Base"
"123","Overall","0",0.233627018857796,"TP2_GI","Full","Base"
"124","Overall","2",0.355110797043687,"TP2_GI","Full","Base"
"125","Overall","Overall",0.855477594461012,"TP2_GI","Full","Base"
"126","Scala/DH130910","0",0.0940395786908873,"TP2_GI","Full","Base"
"127","Scala/DH130910","2",-0.200469025878705,"TP2_GI","Full","Base"
"128","Scala/DH130910","Overall",0.800051910170143,"TP2_GI","Full","Base"
"129","SY_Tepee/DH130910","0",-0.170093155591614,"TP2_GI","Full","Base"
"130","SY_Tepee/DH130910","2",0.146537435407673,"TP2_GI","Full","Base"
"131","SY_Tepee/DH130910","Overall",0.880005938491007,"TP2_GI","Full","Base"
"132","Wintmalt/DH130910","0",0.414333377884463,"TP2_GI","Full","Base"
"133","Wintmalt/DH130910","2",0.300535191597206,"TP2_GI","Full","Base"
"134","Wintmalt/DH130910","Overall",0.885367796687195,"TP2_GI","Full","Base"
"135","Flavia/DH130910","2",0.690111246873586,"TP2_GI","Full","Base"
"136","Flavia/DH130910","Overall",0.690111246873586,"TP2_GI","Full","Base"
"137","Overall","0",0.527350994371441,"TP2_GI","Full","Base"
"138","Overall","2",0.417440220310224,"TP2_GI","Full","Base"
"139","Overall","Overall",0.880859099582656,"TP2_GI","Full","Base"
"140","Scala/DH130910","0",0.548568751722879,"TP2_GI","Full","Base"
"141","Scala/DH130910","2",0.13134147518195,"TP2_GI","Full","Base"
"142","Scala/DH130910","Overall",0.848791783369592,"TP2_GI","Full","Base"
"143","SY_Tepee/DH130910","0",0.27240518980241,"TP2_GI","Full","Base"
"144","SY_Tepee/DH130910","2",0.335927641152056,"TP2_GI","Full","Base"
"145","SY_Tepee/DH130910","Overall",0.916761378651708,"TP2_GI","Full","Base"
"146","Wintmalt/DH130910","0",0.769142955110022,"TP2_GI","Full","Base"
"147","Wintmalt/DH130910","2",0.228064742113275,"TP2_GI","Full","Base"
"148","Wintmalt/DH130910","Overall",0.878476622077174,"TP2_GI","Full","Base"
"149","DH130910","2",NA,"TP2_GI","Full","Base"
"150","DH130910","Overall",NA,"TP2_GI","Full","Base"
"151","Flavia/DH130910","2",0.247931220385578,"TP2_GI","Full","Base"
"152","Flavia/DH130910","Overall",0.247931220385578,"TP2_GI","Full","Base"
"153","Overall","0",0.60298664772584,"TP2_GI","Full","Base"
"154","Overall","2",0.605233559130408,"TP2_GI","Full","Base"
"155","Overall","Overall",0.889459441477939,"TP2_GI","Full","Base"
"156","Scala/DH130910","0",0.799590663927737,"TP2_GI","Full","Base"
"157","Scala/DH130910","2",0.6387153829506,"TP2_GI","Full","Base"
"158","Scala/DH130910","Overall",0.933708445128423,"TP2_GI","Full","Base"
"159","SY_Tepee/DH130910","0",0.641028793311718,"TP2_GI","Full","Base"
"160","SY_Tepee/DH130910","2",0.765596381772232,"TP2_GI","Full","Base"
"161","SY_Tepee/DH130910","Overall",0.916456076848648,"TP2_GI","Full","Base"
"162","Wintmalt/DH130910","0",0.513459080986803,"TP2_GI","Full","Base"
"163","Wintmalt/DH130910","2",0.432538986431459,"TP2_GI","Full","Base"
"164","Wintmalt/DH130910","Overall",0.864806440878155,"TP2_GI","Full","Base"
"165","Flavia/DH130910","2",0.383804131223716,"TP2_GI","Full","Base"
"166","Flavia/DH130910","Overall",0.383804131223716,"TP2_GI","Full","Base"
"167","Overall","0",0.484102195413264,"TP2_GI","Full","Base"
"168","Overall","2",0.403803084555413,"TP2_GI","Full","Base"
"169","Overall","Overall",0.903592276818153,"TP2_GI","Full","Base"
"170","Scala/DH130910","0",0.0449153811905539,"TP2_GI","Full","Base"
"171","Scala/DH130910","2",0.115526900161924,"TP2_GI","Full","Base"
"172","Scala/DH130910","Overall",0.876471891579408,"TP2_GI","Full","Base"
"173","SY_Tepee/DH130910","0",0.546410772477709,"TP2_GI","Full","Base"
"174","SY_Tepee/DH130910","2",0.0593941629561342,"TP2_GI","Full","Base"
"175","SY_Tepee/DH130910","Overall",0.894333666636776,"TP2_GI","Full","Base"
"176","Wintmalt/DH130910","0",0.731606324203377,"TP2_GI","Full","Base"
"177","Wintmalt/DH130910","2",0.715944277144794,"TP2_GI","Full","Base"
"178","Wintmalt/DH130910","Overall",0.951622644739213,"TP2_GI","Full","Base"
"179","Flavia/DH130910","2",0.517407256337556,"TP2_GI","Full","Base"
"180","Flavia/DH130910","Overall",0.517407256337556,"TP2_GI","Full","Base"
"181","Overall","0",0.441365483726886,"TP2_GI","Full","Base"
"182","Overall","2",0.657469350732701,"TP2_GI","Full","Base"
"183","Overall","Overall",0.894090214832517,"TP2_GI","Full","Base"
"184","Scala/DH130910","0",0.55917901571257,"TP2_GI","Full","Base"
"185","Scala/DH130910","2",-0.0688003153084624,"TP2_GI","Full","Base"
"186","Scala/DH130910","Overall",0.895956897502061,"TP2_GI","Full","Base"
"187","SY_Tepee/DH130910","0",0.226262510492999,"TP2_GI","Full","Base"
"188","SY_Tepee/DH130910","2",0.835793671714839,"TP2_GI","Full","Base"
"189","SY_Tepee/DH130910","Overall",0.893487121723065,"TP2_GI","Full","Base"
"190","Wintmalt/DH130910","0",0.534338229318512,"TP2_GI","Full","Base"
"191","Wintmalt/DH130910","2",0.574017347215667,"TP2_GI","Full","Base"
"192","Wintmalt/DH130910","Overall",0.899817816712048,"TP2_GI","Full","Base"
"193","Flavia/DH130910","2",0.325208318681361,"TP2_GI","Full","Base"
"194","Flavia/DH130910","Overall",0.325208318681361,"TP2_GI","Full","Base"
"195","Overall","0",0.495292693660964,"TP2_GI","Full","Base"
"196","Overall","2",0.630879597552784,"TP2_GI","Full","Base"
"197","Overall","Overall",0.905100378658332,"TP2_GI","Full","Base"
"198","Scala/DH130910","0",0.34197822738159,"TP2_GI","Full","Base"
"199","Scala/DH130910","2",0.551414875171908,"TP2_GI","Full","Base"
"200","Scala/DH130910","Overall",0.907662816939184,"TP2_GI","Full","Base"
"201","SY_Tepee/DH130910","0",0.575015815504599,"TP2_GI","Full","Base"
"202","SY_Tepee/DH130910","2",0.536532157268422,"TP2_GI","Full","Base"
"203","SY_Tepee/DH130910","Overall",0.942601680800951,"TP2_GI","Full","Base"
"204","Wintmalt/DH130910","0",0.393515075351054,"TP2_GI","Full","Base"
"205","Wintmalt/DH130910","2",0.449227082616369,"TP2_GI","Full","Base"
"206","Wintmalt/DH130910","Overall",0.86335581860007,"TP2_GI","Full","Base"
"207","DH130910","2",NA,"TP2_GI","Full","Base"
"208","DH130910","Overall",NA,"TP2_GI","Full","Base"
"209","Flavia/DH130910","2",0.554194411833592,"TP2_GI","Full","Base"
"210","Flavia/DH130910","Overall",0.554194411833592,"TP2_GI","Full","Base"
"211","Overall","0",0.300906158520297,"TP2_GI","Full","Base"
"212","Overall","2",0.519850646548111,"TP2_GI","Full","Base"
"213","Overall","Overall",0.896188413339158,"TP2_GI","Full","Base"
"214","Scala/DH130910","0",0.511567400890925,"TP2_GI","Full","Base"
"215","Scala/DH130910","2",0.373555853432073,"TP2_GI","Full","Base"
"216","Scala/DH130910","Overall",0.91942253795816,"TP2_GI","Full","Base"
"217","SY_Tepee/DH130910","0",-0.347469930064278,"TP2_GI","Full","Base"
"218","SY_Tepee/DH130910","2",0.447823939615523,"TP2_GI","Full","Base"
"219","SY_Tepee/DH130910","Overall",0.841779653269267,"TP2_GI","Full","Base"
"220","Wintmalt/DH130910","0",0.614235660877931,"TP2_GI","Full","Base"
"221","Wintmalt/DH130910","2",0.444981958636271,"TP2_GI","Full","Base"
"222","Wintmalt/DH130910","Overall",0.896005246982129,"TP2_GI","Full","Base"
"223","Flavia/DH130910","2",0.404569273651341,"TP2_GI","Full","Base"
"224","Flavia/DH130910","Overall",0.404569273651341,"TP2_GI","Full","Base"
"225","Overall","0",0.400115737533659,"TP2_GI","Full","Base"
"226","Overall","2",0.490980497194918,"TP2_GI","Full","Base"
"227","Overall","Overall",0.892819326490193,"TP2_GI","Full","Base"
"228","Scala/DH130910","0",0.32194369143256,"TP2_GI","Full","Base"
"229","Scala/DH130910","2",-0.0536064985103239,"TP2_GI","Full","Base"
"230","Scala/DH130910","Overall",0.832881529018742,"TP2_GI","Full","Base"
"231","SY_Tepee/DH130910","0",0.269999780867321,"TP2_GI","Full","Base"
"232","SY_Tepee/DH130910","2",0.411863660399105,"TP2_GI","Full","Base"
"233","SY_Tepee/DH130910","Overall",0.913022299760402,"TP2_GI","Full","Base"
"234","Wintmalt/DH130910","0",0.812945286646555,"TP2_GI","Full","Base"
"235","Wintmalt/DH130910","2",0.471371953287555,"TP2_GI","Full","Base"
"236","Wintmalt/DH130910","Overall",0.926862668647146,"TP2_GI","Full","Base"
"237","DH130910","2",NA,"TP2_GI","Full","Base"
"238","DH130910","Overall",NA,"TP2_GI","Full","Base"
"239","Flavia/DH130910","2",0.251287070826401,"TP2_GI","Full","Base"
"240","Flavia/DH130910","Overall",0.251287070826401,"TP2_GI","Full","Base"
"241","Overall","0",0.397072913799378,"TP2_GI","Full","Base"
"242","Overall","2",0.411577540388068,"TP2_GI","Full","Base"
"243","Overall","Overall",0.868209031422823,"TP2_GI","Full","Base"
"244","Scala/DH130910","0",0.202871396561499,"TP2_GI","Full","Base"
"245","Scala/DH130910","2",0.623982801488831,"TP2_GI","Full","Base"
"246","Scala/DH130910","Overall",0.874267202313654,"TP2_GI","Full","Base"
"247","SY_Tepee/DH130910","0",0.653698861476781,"TP2_GI","Full","Base"
"248","SY_Tepee/DH130910","2",0.228373095277484,"TP2_GI","Full","Base"
"249","SY_Tepee/DH130910","Overall",0.911162978051834,"TP2_GI","Full","Base"
"250","Wintmalt/DH130910","0",0.633901004985841,"TP2_GI","Full","Base"
"251","Wintmalt/DH130910","2",0.24344796904195,"TP2_GI","Full","Base"
"252","Wintmalt/DH130910","Overall",0.863385138347454,"TP2_GI","Full","Base"
"253","Flavia/DH130910","2",0.30526696245432,"TP2_GI","Full","Base"
"254","Flavia/DH130910","Overall",0.30526696245432,"TP2_GI","Full","Base"
"255","Overall","0",0.337772157356116,"TP2_GI","Full","Base"
"256","Overall","2",0.567468708342368,"TP2_GI","Full","Base"
"257","Overall","Overall",0.88286383575695,"TP2_GI","Full","Base"
"258","Scala/DH130910","0",0.394956344587097,"TP2_GI","Full","Base"
"259","Scala/DH130910","2",0.395271154294249,"TP2_GI","Full","Base"
"260","Scala/DH130910","Overall",0.861576096382834,"TP2_GI","Full","Base"
"261","SY_Tepee/DH130910","0",-0.145148018280107,"TP2_GI","Full","Base"
"262","SY_Tepee/DH130910","2",0.530852743645958,"TP2_GI","Full","Base"
"263","SY_Tepee/DH130910","Overall",0.913167383488003,"TP2_GI","Full","Base"
"264","Wintmalt/DH130910","0",0.615449217501346,"TP2_GI","Full","Base"
"265","Wintmalt/DH130910","2",0.595781929568475,"TP2_GI","Full","Base"
"266","Wintmalt/DH130910","Overall",0.901483224335094,"TP2_GI","Full","Base"
"267","Flavia/DH130910","2",0.480279521996002,"TP2_GI","Full","Base"
"268","Flavia/DH130910","Overall",0.480279521996002,"TP2_GI","Full","Base"
"269","Overall","0",0.293215678773642,"TP2_GI","Full","Base"
"270","Overall","2",0.610615914404096,"TP2_GI","Full","Base"
"271","Overall","Overall",0.88761876538982,"TP2_GI","Full","Base"
"272","Scala/DH130910","0",0.263413071901877,"TP2_GI","Full","Base"
"273","Scala/DH130910","2",0.319974954136,"TP2_GI","Full","Base"
"274","Scala/DH130910","Overall",0.890764827567571,"TP2_GI","Full","Base"
"275","SY_Tepee/DH130910","0",-0.0498982920609551,"TP2_GI","Full","Base"
"276","SY_Tepee/DH130910","2",0.704826293678116,"TP2_GI","Full","Base"
"277","SY_Tepee/DH130910","Overall",0.893396197255707,"TP2_GI","Full","Base"
"278","Wintmalt/DH130910","0",0.755886169245155,"TP2_GI","Full","Base"
"279","Wintmalt/DH130910","2",0.304360957471703,"TP2_GI","Full","Base"
"280","Wintmalt/DH130910","Overall",0.893864841199897,"TP2_GI","Full","Base"
"281","Flavia/DH130910","2",0.428006385794775,"TP2_GI","Full","Base"
"282","Flavia/DH130910","Overall",0.428006385794775,"TP2_GI","Full","Base"
"283","Overall","0",0.439433069696776,"TP2_GI","Full","Base"
"284","Overall","2",0.448277829061741,"TP2_GI","Full","Base"
"285","Overall","Overall",0.88998601281222,"TP2_GI","Full","Base"
"286","Scala/DH130910","0",0.502679865798055,"TP2_GI","Full","Base"
"287","Scala/DH130910","2",0.251161709600484,"TP2_GI","Full","Base"
"288","Scala/DH130910","Overall",0.871529826158354,"TP2_GI","Full","Base"
"289","SY_Tepee/DH130910","0",0.679991832850726,"TP2_GI","Full","Base"
"290","SY_Tepee/DH130910","2",0.333410739887175,"TP2_GI","Full","Base"
"291","SY_Tepee/DH130910","Overall",0.932542352920097,"TP2_GI","Full","Base"
"292","Wintmalt/DH130910","0",0.115608569669822,"TP2_GI","Full","Base"
"293","Wintmalt/DH130910","2",0.397359641090101,"TP2_GI","Full","Base"
"294","Wintmalt/DH130910","Overall",0.881404634371131,"TP2_GI","Full","Base"
"295","Flavia/DH130910","2",0.644149330217325,"TP2_GI","Full","Base"
"296","Flavia/DH130910","Overall",0.644149330217325,"TP2_GI","Full","Base"
"297","Overall","0",0.439938717658177,"TP2_GI","Full","Base"
"298","Overall","2",0.572491308093456,"TP2_GI","Full","Base"
"299","Overall","Overall",0.901075325374533,"TP2_GI","Full","Base"
"300","Scala/DH130910","0",0.355935879004232,"TP2_GI","Full","Base"
"301","Scala/DH130910","2",0.157014443929723,"TP2_GI","Full","Base"
"302","Scala/DH130910","Overall",0.909478784772043,"TP2_GI","Full","Base"
"303","SY_Tepee/DH130910","0",0.373608560505456,"TP2_GI","Full","Base"
"304","SY_Tepee/DH130910","2",0.265758120342967,"TP2_GI","Full","Base"
"305","SY_Tepee/DH130910","Overall",0.940040746247888,"TP2_GI","Full","Base"
"306","Wintmalt/DH130910","0",0.648889508551943,"TP2_GI","Full","Base"
"307","Wintmalt/DH130910","2",0.506942853012222,"TP2_GI","Full","Base"
"308","Wintmalt/DH130910","Overall",0.853680084561366,"TP2_GI","Full","Base"
"309","Flavia/DH130910","2",0.645945547993573,"TP2_GI","Full","Base"
"310","Flavia/DH130910","Overall",0.645945547993573,"TP2_GI","Full","Base"
"311","Overall","0",0.386042462112762,"TP2_GI","Full","Base"
"312","Overall","2",0.572294389691619,"TP2_GI","Full","Base"
"313","Overall","Overall",0.902766700751495,"TP2_GI","Full","Base"
"314","Scala/DH130910","0",0.237567854223548,"TP2_GI","Full","Base"
"315","Scala/DH130910","2",0.528565624397949,"TP2_GI","Full","Base"
"316","Scala/DH130910","Overall",0.87423696854055,"TP2_GI","Full","Base"
"317","SY_Tepee/DH130910","0",0.433420064021043,"TP2_GI","Full","Base"
