"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.258322127731124,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"2","Flavia/DH130910","Overall",0.258322127731124,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"3","Overall","0",0.296464192062731,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"4","Overall","2",0.0454869035381082,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"5","Overall","Overall",0.854119890401366,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"6","SY_Tepee/DH130910","0",-0.0267954869524621,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"7","SY_Tepee/DH130910","2",0.0891128200460939,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.864150782004437,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"9","Scala/DH130910","0",0.508307757311304,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"10","Scala/DH130910","2",0.0765503968741272,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"11","Scala/DH130910","Overall",0.874145511390404,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"12","Wintmalt/DH130910","0",0.423238572493635,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"13","Wintmalt/DH130910","2",-0.0839612131738041,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"14","Wintmalt/DH130910","Overall",0.840276637526939,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"15","Flavia/DH130910","2",0.23061606603161,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"16","Flavia/DH130910","Overall",0.23061606603161,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"17","Overall","0",0.576665462885495,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"18","Overall","2",0.10998506638156,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"19","Overall","Overall",0.83452749630279,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"20","SY_Tepee/DH130910","0",0.752534359370454,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"21","SY_Tepee/DH130910","2",0.275329248763415,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.864828514899725,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"23","Scala/DH130910","0",0.728959426806916,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"24","Scala/DH130910","2",-0.104454674943508,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"25","Scala/DH130910","Overall",0.925269530072571,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"26","Wintmalt/DH130910","0",0.811496520782897,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"27","Wintmalt/DH130910","2",-0.111403186718218,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"28","Wintmalt/DH130910","Overall",0.816020194538079,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"29","Flavia/DH130910","2",0.0525294600837303,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"30","Flavia/DH130910","Overall",0.0525294600837303,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"31","Overall","0",0.465846453058117,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"32","Overall","2",-0.0740762467792905,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
"33","Overall","Overall",0.873168139689681,"Qsd1byFam_JCWithFixEff.eta","TP2_GI_2021","Full"
