"","Family","Qsd1","correlation","trait","Population","Model"
"478","Scala/DH130910","Overall",0.895735016708545,"TP3_GI","Full","Base"
"479","SY_Tepee/DH130910","0",0.497156932449184,"TP3_GI","Full","Base"
"480","SY_Tepee/DH130910","2",0.396904382399259,"TP3_GI","Full","Base"
"481","SY_Tepee/DH130910","Overall",0.909853924646211,"TP3_GI","Full","Base"
"482","Wintmalt/DH130910","0",0.638686556373822,"TP3_GI","Full","Base"
"483","Wintmalt/DH130910","2",0.780274688083921,"TP3_GI","Full","Base"
"484","Wintmalt/DH130910","Overall",0.914670354583216,"TP3_GI","Full","Base"
"485","Flavia/DH130910","2",0.194336673891627,"TP3_GI","Full","Base"
"486","Flavia/DH130910","Overall",0.194336673891627,"TP3_GI","Full","Base"
"487","Overall","0",0.402423624166078,"TP3_GI","Full","Base"
"488","Overall","2",0.452604803568801,"TP3_GI","Full","Base"
"489","Overall","Overall",0.810627954891263,"TP3_GI","Full","Base"
"490","Scala/DH130910","0",0.35881563294208,"TP3_GI","Full","Base"
"491","Scala/DH130910","2",0.605719086406446,"TP3_GI","Full","Base"
"492","Scala/DH130910","Overall",0.814939363186514,"TP3_GI","Full","Base"
"493","SY_Tepee/DH130910","0",0.52779295257147,"TP3_GI","Full","Base"
"494","SY_Tepee/DH130910","2",0.640834241357713,"TP3_GI","Full","Base"
"495","SY_Tepee/DH130910","Overall",0.84872480623991,"TP3_GI","Full","Base"
"496","Wintmalt/DH130910","0",0.54287026010601,"TP3_GI","Full","Base"
"497","Wintmalt/DH130910","2",0.187167526503973,"TP3_GI","Full","Base"
"498","Wintmalt/DH130910","Overall",0.770834255806964,"TP3_GI","Full","Base"
"499","Flavia/DH130910","2",0.424885845895173,"TP3_GI","Full","Base"
"500","Flavia/DH130910","Overall",0.424885845895173,"TP3_GI","Full","Base"
"501","Overall","0",0.181704932877147,"TP3_GI","Full","Base"
"502","Overall","2",0.405868418578533,"TP3_GI","Full","Base"
"503","Overall","Overall",0.863344610220964,"TP3_GI","Full","Base"
"504","Scala/DH130910","0",0.195172857855888,"TP3_GI","Full","Base"
"505","Scala/DH130910","2",0.306523679641953,"TP3_GI","Full","Base"
"506","Scala/DH130910","Overall",0.822533171032874,"TP3_GI","Full","Base"
"507","SY_Tepee/DH130910","0",-0.5957128423964,"TP3_GI","Full","Base"
"508","SY_Tepee/DH130910","2",0.360479374424497,"TP3_GI","Full","Base"
"509","SY_Tepee/DH130910","Overall",0.863229256579223,"TP3_GI","Full","Base"
"510","Wintmalt/DH130910","0",0.488714708179043,"TP3_GI","Full","Base"
"511","Wintmalt/DH130910","2",0.477271584162857,"TP3_GI","Full","Base"
"512","Wintmalt/DH130910","Overall",0.905231640227487,"TP3_GI","Full","Base"
"513","Flavia/DH130910","2",0.783194198944587,"TP3_GI","Full","Base"
"514","Flavia/DH130910","Overall",0.783194198944587,"TP3_GI","Full","Base"
"515","Overall","0",0.373814878552527,"TP3_GI","Full","Base"
"516","Overall","2",0.549781913192456,"TP3_GI","Full","Base"
"517","Overall","Overall",0.870661472146608,"TP3_GI","Full","Base"
"518","Scala/DH130910","0",0.170485375393308,"TP3_GI","Full","Base"
"519","Scala/DH130910","2",0.392097238294733,"TP3_GI","Full","Base"
"520","Scala/DH130910","Overall",0.82819879324357,"TP3_GI","Full","Base"
"521","SY_Tepee/DH130910","0",0.888371895902636,"TP3_GI","Full","Base"
"522","SY_Tepee/DH130910","2",0.493015301422569,"TP3_GI","Full","Base"
"523","SY_Tepee/DH130910","Overall",0.863928791261977,"TP3_GI","Full","Base"
"524","Wintmalt/DH130910","0",0.549817692289102,"TP3_GI","Full","Base"
"525","Wintmalt/DH130910","2",0.562214605697711,"TP3_GI","Full","Base"
"526","Wintmalt/DH130910","Overall",0.90465325042838,"TP3_GI","Full","Base"
"527","Flavia/DH130910","2",0.339386609316118,"TP3_GI","Full","Base"
"528","Flavia/DH130910","Overall",0.339386609316118,"TP3_GI","Full","Base"
"529","Overall","0",0.0712960941987501,"TP3_GI","Full","Base"
"530","Overall","2",0.382121189753519,"TP3_GI","Full","Base"
"531","Overall","Overall",0.835617932088939,"TP3_GI","Full","Base"
"532","Scala/DH130910","0",0.0503602413882049,"TP3_GI","Full","Base"
"533","Scala/DH130910","2",0.639190726005286,"TP3_GI","Full","Base"
"534","Scala/DH130910","Overall",0.849139993171511,"TP3_GI","Full","Base"
"535","SY_Tepee/DH130910","0",-0.184970250748401,"TP3_GI","Full","Base"
"536","SY_Tepee/DH130910","2",0.273321455513334,"TP3_GI","Full","Base"
"537","SY_Tepee/DH130910","Overall",0.842312986559889,"TP3_GI","Full","Base"
"538","Wintmalt/DH130910","0",0.43469757715208,"TP3_GI","Full","Base"
"539","Wintmalt/DH130910","2",0.443625749860157,"TP3_GI","Full","Base"
"540","Wintmalt/DH130910","Overall",0.910092146397561,"TP3_GI","Full","Base"
"541","Flavia/DH130910","2",0.544585662437197,"TP3_GI","Full","Base"
"542","Flavia/DH130910","Overall",0.544585662437197,"TP3_GI","Full","Base"
"543","Overall","0",0.23545467246986,"TP3_GI","Full","Base"
"544","Overall","2",0.454933995090355,"TP3_GI","Full","Base"
"545","Overall","Overall",0.863477091642293,"TP3_GI","Full","Base"
"546","Scala/DH130910","0",0.283323142199484,"TP3_GI","Full","Base"
"547","Scala/DH130910","2",0.637524288603552,"TP3_GI","Full","Base"
"548","Scala/DH130910","Overall",0.856085914649721,"TP3_GI","Full","Base"
"549","SY_Tepee/DH130910","0",-0.0509499552501665,"TP3_GI","Full","Base"
"550","SY_Tepee/DH130910","2",0.381772251602804,"TP3_GI","Full","Base"
"551","SY_Tepee/DH130910","Overall",0.833325874510256,"TP3_GI","Full","Base"
"552","Wintmalt/DH130910","0",0.406916501677789,"TP3_GI","Full","Base"
"553","Wintmalt/DH130910","2",0.54819126862026,"TP3_GI","Full","Base"
"554","Wintmalt/DH130910","Overall",0.889506263660863,"TP3_GI","Full","Base"
"555","Flavia/DH130910","2",0.498152226824051,"TP3_GI","Full","Base"
"556","Flavia/DH130910","Overall",0.498152226824051,"TP3_GI","Full","Base"
"557","Overall","0",0.229405285126214,"TP3_GI","Full","Base"
"558","Overall","2",0.624825174814271,"TP3_GI","Full","Base"
"559","Overall","Overall",0.852449145614397,"TP3_GI","Full","Base"
"560","Scala/DH130910","0",0.182312568374451,"TP3_GI","Full","Base"
"561","Scala/DH130910","2",0.73898171753507,"TP3_GI","Full","Base"
"562","Scala/DH130910","Overall",0.84131959661131,"TP3_GI","Full","Base"
"563","SY_Tepee/DH130910","0",-0.148924631868771,"TP3_GI","Full","Base"
"564","SY_Tepee/DH130910","2",0.71431101074127,"TP3_GI","Full","Base"
"565","SY_Tepee/DH130910","Overall",0.825724280769264,"TP3_GI","Full","Base"
"566","Wintmalt/DH130910","0",0.58344248347915,"TP3_GI","Full","Base"
"567","Wintmalt/DH130910","2",0.600737482491756,"TP3_GI","Full","Base"
"568","Wintmalt/DH130910","Overall",0.89373337077957,"TP3_GI","Full","Base"
"569","DH130910","2",NA,"TP3_GI","Full","Base"
"570","DH130910","Overall",NA,"TP3_GI","Full","Base"
"571","Flavia/DH130910","2",0.514314589614322,"TP3_GI","Full","Base"
"572","Flavia/DH130910","Overall",0.514314589614322,"TP3_GI","Full","Base"
"573","Overall","0",0.189591007766763,"TP3_GI","Full","Base"
"574","Overall","2",0.475246957058172,"TP3_GI","Full","Base"
"575","Overall","Overall",0.8285738960198,"TP3_GI","Full","Base"
"576","Scala/DH130910","0",0.043004186238288,"TP3_GI","Full","Base"
