"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"2426","SY_Tepee/DH130910","Overall",0.823632040604492,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2427","Scala/DH130910","0",0.0510402625347581,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2428","Scala/DH130910","2",0.567811254542167,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2429","Scala/DH130910","Overall",0.486243502353477,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2430","Wintmalt/DH130910","0",0.507784712510663,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2431","Wintmalt/DH130910","2",0.820385248481321,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2432","Wintmalt/DH130910","Overall",0.888189132583871,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2433","Flavia/DH130910","2",0.44169996923013,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2434","Flavia/DH130910","Overall",0.44169996923013,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2435","Overall","0",0.429542764966876,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2436","Overall","2",0.410719029237861,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2437","Overall","Overall",0.773436391588337,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2438","SY_Tepee/DH130910","0",0.397593454504929,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2439","SY_Tepee/DH130910","2",0.117177207601528,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2440","SY_Tepee/DH130910","Overall",0.673041261263954,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2441","Scala/DH130910","0",0.180193446210032,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2442","Scala/DH130910","2",0.460729604099583,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2443","Scala/DH130910","Overall",0.839197219557239,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2444","Wintmalt/DH130910","0",0.794158373352672,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2445","Wintmalt/DH130910","2",0.636614810440798,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2446","Wintmalt/DH130910","Overall",0.874665787214834,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2447","Flavia/DH130910","2",0.321542986115572,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2448","Flavia/DH130910","Overall",0.321542986115572,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2449","Overall","0",0.612506231228044,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2450","Overall","2",0.293084722857754,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2451","Overall","Overall",0.78378958748011,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2452","SY_Tepee/DH130910","0",0.435467575830817,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2453","SY_Tepee/DH130910","2",0.432257775893245,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2454","SY_Tepee/DH130910","Overall",0.788019013929199,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2455","Scala/DH130910","0",0.625145656853696,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2456","Scala/DH130910","2",0.31618376212004,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2457","Scala/DH130910","Overall",0.723202973597943,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2458","Wintmalt/DH130910","0",0.50264255719478,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2459","Wintmalt/DH130910","2",0.23576629855884,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2460","Wintmalt/DH130910","Overall",0.864288621458108,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2461","Flavia/DH130910","2",0.525361959310889,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2462","Flavia/DH130910","Overall",0.525361959310889,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2463","Overall","0",0.344145265970697,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2464","Overall","2",0.369005878387461,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2465","Overall","Overall",0.688253552642469,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2466","SY_Tepee/DH130910","0",-0.0699671515729681,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2467","SY_Tepee/DH130910","2",0.173265444520099,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2468","SY_Tepee/DH130910","Overall",0.716248874051152,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2469","Scala/DH130910","0",0.450812565615478,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2470","Scala/DH130910","2",0.460884323334502,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2471","Scala/DH130910","Overall",0.656252425155919,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2472","Wintmalt/DH130910","0",0.174519501099511,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2473","Wintmalt/DH130910","2",0.500255413277539,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2474","Wintmalt/DH130910","Overall",0.761878558668787,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2475","DH130910","2",NA,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2476","DH130910","Overall",NA,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2477","Flavia/DH130910","2",0.32903760390374,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2478","Flavia/DH130910","Overall",0.32903760390374,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2479","Overall","0",0.356642724080706,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2480","Overall","2",0.486543727130733,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2481","Overall","Overall",0.738093141915049,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2482","SY_Tepee/DH130910","0",-0.0588561907114167,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2483","SY_Tepee/DH130910","2",0.531893716433419,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2484","SY_Tepee/DH130910","Overall",0.764713899487226,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2485","Scala/DH130910","0",-0.0366970358173441,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2486","Scala/DH130910","2",0.275223606623389,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2487","Scala/DH130910","Overall",0.337410607203611,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2488","Wintmalt/DH130910","0",0.5229314353237,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2489","Wintmalt/DH130910","2",0.743375521542879,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
