"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.353625448001217,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"2","Flavia/DH130910","Overall",0.353625448001217,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"3","Overall","0",0.227032395248721,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"4","Overall","2",0.344088556222767,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"5","Overall","Overall",0.901138617345729,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"6","SY_Tepee/DH130910","0",-0.203286921669326,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"7","SY_Tepee/DH130910","2",0.705905928910556,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.898287966595345,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"9","Scala/DH130910","0",0.541982550108867,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"10","Scala/DH130910","2",0.648161189798038,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"11","Scala/DH130910","Overall",0.927517348445293,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"12","Wintmalt/DH130910","0",-0.132808171381779,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"13","Wintmalt/DH130910","2",0.0411250767419347,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"14","Wintmalt/DH130910","Overall",0.905316722987924,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"15","Flavia/DH130910","2",0.538877806463399,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"16","Flavia/DH130910","Overall",0.538877806463399,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"17","Overall","0",-0.0285223987418155,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"18","Overall","2",0.524951974888702,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"19","Overall","Overall",0.868083593438562,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"20","SY_Tepee/DH130910","0",0.0776981637438652,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"21","SY_Tepee/DH130910","2",0.682059861921265,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.886569279404228,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"23","Scala/DH130910","0",0.112676387255478,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"24","Scala/DH130910","2",0.294722262399931,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
"25","Scala/DH130910","Overall",0.899771714917378,"Qsd1byFam_JCWithFixEff.eta","TP3_GI_2020_2021","Full"
