"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.236304480578769,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"2","Flavia/DH130910","Overall",0.236304480578769,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"3","Overall","0",0.469655660211763,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"4","Overall","2",0.0795116045438008,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"5","Overall","Overall",0.313561165575585,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"6","SY_Tepee/DH130910","0",0.203090565159627,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"7","SY_Tepee/DH130910","2",-0.390731039838914,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.208453099081502,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"9","Scala/DH130910","0",0.402913344351913,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"10","Scala/DH130910","2",0.37587016697743,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"11","Scala/DH130910","Overall",0.325681510715766,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"12","Wintmalt/DH130910","0",-0.0439393573221088,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"13","Wintmalt/DH130910","2",-0.219928133875786,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"14","Wintmalt/DH130910","Overall",0.222242403346354,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"15","Flavia/DH130910","2",-0.0455146106663251,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"16","Flavia/DH130910","Overall",-0.0455146106663251,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"17","Overall","0",0.625094127876564,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"18","Overall","2",0.237862025339674,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"19","Overall","Overall",0.383918855146549,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"20","SY_Tepee/DH130910","0",-0.698891767815133,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"21","SY_Tepee/DH130910","2",0.0679282945441987,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.145781938015432,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"23","Scala/DH130910","0",0.813609943306519,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"24","Scala/DH130910","2",0.268623932782194,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
"25","Scala/DH130910","Overall",0.435269863533717,"Qsd1byFam_JCWithFixEff.eta","TP4_GE_2020_2021","Full"
